,split_0,split_1,split_2,averb,averb_s,averb_o,averb_relation,root,root_full,root_s,root_o,fverb,fword,apos,apos_w,URL,ID,Type,Index,Text,split_tokens,split_anchor_span,split_anchor_indices
120,"In this technical report, we adapt whole word masking in Chinese text, that masking the whole word instead of masking Chinese characters, which could bring another challenge in Masked Language Model (MLM) pre-training task.",,,,,,,word,word,"['In this technical report , we adapt that masking the whole word instead of masking Chinese characters , which could bring another challenge in Masked Language Model ( MLM ) pre - training task .']","['whole masking in', 'Chinese text ,']",,,,,https://www.semanticscholar.org/paper/Pre-Training-with-Whole-Word-Masking-for-Chinese-Cui-Che/2ff41a463a374b138bb5a012e5a32bc4beefec20,16,Abstract,2,"In this technical report, we adapt whole word masking in Chinese text, that masking the whole word instead of masking Chinese characters, which could bring another challenge in Masked Language Model (MLM) pre-training task.","['In', 'this', 'technical', 'report,', 'we', 'adapt', 'whole', 'word', 'masking', 'in', 'Chinese', 'text,', 'that', 'masking', 'the', 'whole', 'word', 'instead', 'of', 'masking', 'Chinese', 'characters,', 'which', 'could', 'bring', 'another', 'challenge', 'in', 'Masked', 'Language', 'Model', '(MLM)', 'pre-training', 'task.']",,
121,,The model,was trained on the latest Chinese Wikipedia dump .,was trained,['The model'],[],1.0,trained,was trained,['The model'],[],was,was,"['NOUN', 'VERB']","['model', 'trained']",https://www.semanticscholar.org/paper/Pre-Training-with-Whole-Word-Masking-for-Chinese-Cui-Che/2ff41a463a374b138bb5a012e5a32bc4beefec20,16,Abstract,3,The model was trained on the latest Chinese Wikipedia dump.,"['The', 'model', 'was', 'trained', 'on', 'the', 'latest', 'Chinese', 'Wikipedia', 'dump', '.']","(0, 2)","(0, 9)"
122,We aim to provide easy extensibility and better performance for,Chinese BERT,without changing any neural architecture or even hyper - parameters .,to provide,[],"['easy', 'extensibility and', 'better performance']",-1.0,aim,aim,['We'],['.'],changing,without,"['NOUN', 'ADP', 'VERB']","['BERT', 'for', 'provide']",https://www.semanticscholar.org/paper/Pre-Training-with-Whole-Word-Masking-for-Chinese-Cui-Che/2ff41a463a374b138bb5a012e5a32bc4beefec20,16,Abstract,4,We aim to provide easy extensibility and better performance for Chinese BERT without changing any neural architecture or even hyper-parameters.,"['We', 'aim', 'to', 'provide', 'easy', 'extensibility', 'and', 'better', 'performance', 'for', 'Chinese', 'BERT', 'without', 'changing', 'any', 'neural', 'architecture', 'or', 'even', 'hyper', '-', 'parameters', '.']","(10, 12)","(63, 75)"
123,,The model,"is verified on various NLP tasks , across sentence - level to document - level , including sentiment classification ( ChnSentiCorp , Sina Weibo ) , named entity recognition ( People Daily , MSRA - NER ) , natural language inference ( XNLI ) , sentence pair matching ( LCQMC , BQ Corpus ) , and machine reading comprehension ( CMRC 2018 , DRCD , CAIL RC ) .",is verified,['The model'],[],1.0,",",",","['The model is verified on various NLP tasks , across sentence - level to document - level , including sentiment classification ( ChnSentiCorp , Sina Weibo ) , named entity recognition ( People Daily , MSRA - NER ) , natural language inference ( XNLI ) , sentence pair matching ( LCQMC , BQ Corpus ) , and machine reading comprehension ( CMRC 2018 ,', 'DRCD']",['CAIL RC ) .'],is,is,"['NOUN', 'VERB', 'NOUN']","['model', 'verified', 'inference']",https://www.semanticscholar.org/paper/Pre-Training-with-Whole-Word-Masking-for-Chinese-Cui-Che/2ff41a463a374b138bb5a012e5a32bc4beefec20,16,Abstract,5,"The model is verified on various NLP tasks, across sentence-level to document-level, including sentiment classification (ChnSentiCorp, Sina Weibo), named entity recognition (People Daily, MSRA-NER), natural language inference (XNLI), sentence pair matching (LCQMC, BQ Corpus), and machine reading comprehension (CMRC 2018, DRCD, CAIL RC).","['The', 'model', 'is', 'verified', 'on', 'various', 'NLP', 'tasks', ',', 'across', 'sentence', '-', 'level', 'to', 'document', '-', 'level', ',', 'including', 'sentiment', 'classification', '(', 'ChnSentiCorp', ',', 'Sina', 'Weibo', ')', ',', 'named', 'entity', 'recognition', '(', 'People', 'Daily', ',', 'MSRA', '-', 'NER', ')', ',', 'natural', 'language', 'inference', '(', 'XNLI', ')', ',', 'sentence', 'pair', 'matching', '(', 'LCQMC', ',', 'BQ', 'Corpus', ')', ',', 'and', 'machine', 'reading', 'comprehension', '(', 'CMRC', '2018', ',', 'DRCD', ',', 'CAIL', 'RC', ')', '.']","(0, 2)","(0, 9)"
124,Experimental results on these datasets show that the whole word masking could bring another significant gain.,,,,,,,show,show,['Experimental results on these datasets'],['.'],,,,,https://www.semanticscholar.org/paper/Pre-Training-with-Whole-Word-Masking-for-Chinese-Cui-Che/2ff41a463a374b138bb5a012e5a32bc4beefec20,16,Abstract,6,Experimental results on these datasets show that the whole word masking could bring another significant gain.,"['Experimental', 'results', 'on', 'these', 'datasets', 'show', 'that', 'the', 'whole', 'word', 'masking', 'could', 'bring', 'another', 'significant', 'gain.']",,
125,"Moreover , we also examine the effectiveness of Chinese pre - trained models :",BERT,", ERNIE , BERT - wwm .",examine,"[',', 'we']","['the effectiveness of Chinese pre - trained models : BERT , ERNIE , BERT - wwm .']",-1.0,examine,examine,"[',', 'we']","['the effectiveness of Chinese pre - trained models : BERT , ERNIE , BERT - wwm .']",,ERNIE,"['PROPN', 'PUNCT', 'NOUN']","['BERT', ':', 'models']",https://www.semanticscholar.org/paper/Pre-Training-with-Whole-Word-Masking-for-Chinese-Cui-Che/2ff41a463a374b138bb5a012e5a32bc4beefec20,16,Abstract,7,"Moreover, we also examine the effectiveness of Chinese pre-trained models: BERT, ERNIE, BERT-wwm.","['Moreover', ',', 'we', 'also', 'examine', 'the', 'effectiveness', 'of', 'Chinese', 'pre', '-', 'trained', 'models', ':', 'BERT', ',', 'ERNIE', ',', 'BERT', '-', 'wwm', '.']","(14, 15)","(78, 82)"
126,"Moreover , we also examine the effectiveness of Chinese pre - trained models : BERT , ERNIE ,",BERT - wwm,.,examine,"[',', 'we']","['the effectiveness of Chinese pre - trained models : BERT , ERNIE , BERT - wwm .']",-1.0,examine,examine,"[',', 'we']","['the effectiveness of Chinese pre - trained models : BERT , ERNIE , BERT - wwm .']",,,"['PROPN', 'PUNCT', 'PROPN']","['wwm', ',', 'ERNIE']",https://www.semanticscholar.org/paper/Pre-Training-with-Whole-Word-Masking-for-Chinese-Cui-Che/2ff41a463a374b138bb5a012e5a32bc4beefec20,16,Abstract,7,"Moreover, we also examine the effectiveness of Chinese pre-trained models: BERT, ERNIE, BERT-wwm.","['Moreover', ',', 'we', 'also', 'examine', 'the', 'effectiveness', 'of', 'Chinese', 'pre', '-', 'trained', 'models', ':', 'BERT', ',', 'ERNIE', ',', 'BERT', '-', 'wwm', '.']","(18, 21)","(93, 103)"
127,We release the pre-trained model (both TensorFlow and PyTorch) on GitHub: this https URL,,,,,,,release,release,['We'],['the pre - trained model ( both TensorFlow and PyTorch ) on GitHub : this https URL'],,,,,https://www.semanticscholar.org/paper/Pre-Training-with-Whole-Word-Masking-for-Chinese-Cui-Che/2ff41a463a374b138bb5a012e5a32bc4beefec20,16,Abstract,8,We release the pre-trained model (both TensorFlow and PyTorch) on GitHub: this https URL,"['We', 'release', 'the', 'pre-trained', 'model', '(both', 'TensorFlow', 'and', 'PyTorch)', 'on', 'GitHub:', 'this', 'https', 'URL']",,
128,Pre-Training with Whole Word Masking for Chinese,BERT,.,,,,,Training,Training,['Pre'],[],,,"['NOUN', 'ADP', 'PROPN']","['BERT', 'for', 'Masking']",https://www.semanticscholar.org/paper/Pre-Training-with-Whole-Word-Masking-for-Chinese-Cui-Che/2ff41a463a374b138bb5a012e5a32bc4beefec20,16,Title,0,Pre-Training with Whole Word Masking for Chinese BERT.,"['Pre-Training', 'with', 'Whole', 'Word', 'Masking', 'for', 'Chinese', 'BERT', '.']","(7, 8)","(48, 52)"
129,,BERT,model has been successfully applied to open - domain QA tasks .,,,,,successfully,has been successfully,['BERT model'],"['applied to open - domain QA tasks', '.']",has,model,"['PROPN', 'NOUN', 'ADV']","['BERT', 'model', 'successfully']",https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Abstract,0,BERT model has been successfully applied to open-domain QA tasks.,"['BERT', 'model', 'has', 'been', 'successfully', 'applied', 'to', 'open', '-', 'domain', 'QA', 'tasks', '.']","(0, 1)","(0, 4)"
130,"However , previous work trains",BERT,"by viewing passages corresponding to the same question as independent training instances , which may cause incomparable scores for answers from different passages .",BERT,['previous work trains'],[],0.0,cause,may cause,"['However', ',', 'which', 'previous work trains BERT by viewing passages corresponding to the same question as independent training instances ,']",['incomparable scores'],viewing,by,"['VERB', 'VERB']","['BERT', 'cause']",https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Abstract,1,"However, previous work trains BERT by viewing passages corresponding to the same question as independent training instances, which may cause incomparable scores for answers from different passages.","['However', ',', 'previous', 'work', 'trains', 'BERT', 'by', 'viewing', 'passages', 'corresponding', 'to', 'the', 'same', 'question', 'as', 'independent', 'training', 'instances', ',', 'which', 'may', 'cause', 'incomparable', 'scores', 'for', 'answers', 'from', 'different', 'passages', '.']","(5, 6)","(30, 34)"
131,"To tackle this issue , we propose",a multi - passage BERT model to globally normalize answer scores across all passages of the same question,", and this change enables our QA model find better answers by utilizing more passages .",propose,"['To', 'we', 'tackle this issue']","['a multi - passage BERT model to globally normalize answer scores across all passages of the same question ,', 'this change enables our QA model find better answers by utilizing more passages .']",-1.0,propose,propose,"['To', 'we', 'tackle this issue']","['a multi - passage BERT model to globally normalize answer scores across all passages of the same question ,', 'this change enables our QA model find better answers by utilizing more passages .']",enables,and,"['NOUN', 'VERB']","['model', 'propose']",https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Abstract,2,"To tackle this issue, we propose a multi-passage BERT model to globally normalize answer scores across all passages of the same question, and this change enables our QA model find better answers by utilizing more passages.","['To', 'tackle', 'this', 'issue', ',', 'we', 'propose', 'a', 'multi', '-', 'passage', 'BERT', 'model', 'to', 'globally', 'normalize', 'answer', 'scores', 'across', 'all', 'passages', 'of', 'the', 'same', 'question', ',', 'and', 'this', 'change', 'enables', 'our', 'QA', 'model', 'find', 'better', 'answers', 'by', 'utilizing', 'more', 'passages', '.']","(7, 25)","(33, 138)"
132,"In addition, we find that splitting articles into passages with the length of 100 words by sliding window improves performance by 4%.",,,,,,,find,find,"[',', 'we']",['.'],,,,,https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Abstract,3,"In addition, we find that splitting articles into passages with the length of 100 words by sliding window improves performance by 4%.","['In', 'addition,', 'we', 'find', 'that', 'splitting', 'articles', 'into', 'passages', 'with', 'the', 'length', 'of', '100', 'words', 'by', 'sliding', 'window', 'improves', 'performance', 'by', '4%.']",,
133,"By leveraging a passage ranker to select high-quality passages, multi-passage",BERT,gains additional 2%.,gains,['BERT .'],['additional 2 %'],1.0,By,By,[],[],,gains,"['PROPN', 'VERB', 'ADJ']","['BERT', 'gains', 'passage']",https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Abstract,4,"By leveraging a passage ranker to select high-quality passages, multi-passage BERT gains additional 2%.","['By', 'leveraging', 'a', 'passage', 'ranker', 'to', 'select', 'high-quality', 'passages,', 'multi-passage', 'BERT', 'gains', 'additional', '2%.']","(10, 11)","(77, 81)"
134,Experiments on four standard benchmarks showed that,our multi - passage BERT,outperforms all state - of - the - art models on all benchmarks .,showed,['Experiments on four standard benchmarks'],['that our multi - passage BERT outperforms all state - of - the - art models on all benchmarks'],-1.0,showed,showed,['Experiments on four standard benchmarks'],['that our multi - passage BERT outperforms all state - of - the - art models on all benchmarks'],outperforms,outperforms,"['PROPN', 'VERB']","['BERT', 'showed']",https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Abstract,5,Experiments on four standard benchmarks showed that our multi-passage BERT outperforms all state-of-the-art models on all benchmarks.,"['Experiments', 'on', 'four', 'standard', 'benchmarks', 'showed', 'that', 'our', 'multi', '-', 'passage', 'BERT', 'outperforms', 'all', 'state', '-', 'of', '-', 'the', '-', 'art', 'models', 'on', 'all', 'benchmarks', '.']","(7, 12)","(51, 75)"
135,"In particular , on the OpenSQuAD dataset , our model gains 21.4 % EM and 21.5 % $ F_1 $ over all non -",BERT,"models , and 5.8 % EM and 6.5 % $ F_1 $ over BERT - based models",,,,,and,and,"['In particular , on the OpenSQuAD dataset , our model gains 21.4 % EM 21.5 % $ F_1 $ over all non - BERT models , and 5.8 % EM and 6.5 % $ F_1 $ over BERT - based models']",[],based,models,"['ADJ', 'NOUN', 'ADJ']","['BERT', 'models', 'non']",https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Abstract,6,"In particular, on the OpenSQuAD dataset, our model gains 21.4% EM and 21.5% $F_1$ over all non-BERT models, and 5.8% EM and 6.5% $F_1$ over BERT-based models","['In', 'particular', ',', 'on', 'the', 'OpenSQuAD', 'dataset', ',', 'our', 'model', 'gains', '21.4', '%', 'EM', 'and', '21.5', '%', '$', 'F_1', '$', 'over', 'all', 'non', '-', 'BERT', 'models', ',', 'and', '5.8', '%', 'EM', 'and', '6.5', '%', '$', 'F_1', '$', 'over', 'BERT', '-', 'based', 'models']","(24, 25)","(102, 106)"
136,"In particular , on the OpenSQuAD dataset ,",our model,"gains 21.4 % EM and 21.5 % $ F_1 $ over all non - BERT models , and 5.8 % EM and 6.5 % $ F_1 $ over BERT - based models",,,,,and,and,"['In particular , on the OpenSQuAD dataset , our model gains 21.4 % EM 21.5 % $ F_1 $ over all non - BERT models , and 5.8 % EM and 6.5 % $ F_1 $ over BERT - based models']",[],based,gains,"['NOUN', 'ADP', 'ADP']","['model', 'on', 'In']",https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Abstract,6,"In particular, on the OpenSQuAD dataset, our model gains 21.4% EM and 21.5% $F_1$ over all non-BERT models, and 5.8% EM and 6.5% $F_1$ over BERT-based models","['In', 'particular', ',', 'on', 'the', 'OpenSQuAD', 'dataset', ',', 'our', 'model', 'gains', '21.4', '%', 'EM', 'and', '21.5', '%', '$', 'F_1', '$', 'over', 'all', 'non', '-', 'BERT', 'models', ',', 'and', '5.8', '%', 'EM', 'and', '6.5', '%', '$', 'F_1', '$', 'over', 'BERT', '-', 'based', 'models']","(8, 10)","(42, 51)"
137,Multi-passage,BERT,: A Globally Normalized BERT Model for Open-domain Question Answering.,,,,,passage,passage,['-'],"['Multi BERT', ': A Globally Normalized BERT Model for Open - domain Question Answering .']",,A,"['NOUN', 'ADJ']","['BERT', 'passage']",https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Title,0,Multi-passage BERT: A Globally Normalized BERT Model for Open-domain Question Answering.,"['Multi-passage', 'BERT', ':', 'A', 'Globally', 'Normalized', 'BERT', 'Model', 'for', 'Open-domain', 'Question', 'Answering.']","(1, 2)","(13, 17)"
138,Multi-passage BERT: A Globally Normalized,BERT,Model for Open-domain Question Answering.,,,,,passage,passage,['-'],"['Multi BERT', ': A Globally Normalized BERT Model for Open - domain Question Answering .']",,Model,"['NOUN', 'ADJ', 'ADV']","['BERT', 'Normalized', 'Globally']",https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Title,0,Multi-passage BERT: A Globally Normalized BERT Model for Open-domain Question Answering.,"['Multi-passage', 'BERT:', 'A', 'Globally', 'Normalized', 'BERT', 'Model', 'for', 'Open-domain', 'Question', 'Answering.']","(5, 6)","(41, 45)"
139,Intent classification and slot filling are two essential tasks for natural language understanding.,,,,,,,are,are,"['Intent classification and', 'slot filling', 'two essential tasks for natural language understanding']",[],,,,,https://www.semanticscholar.org/paper/BERT-for-Joint-Intent-Classification-and-Slot-Chen-Zhuo/476029ac9be26bf7f121a388f5c1e45d204efe52,18,Abstract,0,Intent classification and slot filling are two essential tasks for natural language understanding.,"['Intent', 'classification', 'and', 'slot', 'filling', 'are', 'two', 'essential', 'tasks', 'for', 'natural', 'language', 'understanding.']",,
140,"They often suffer from small-scale human-labeled training data, resulting in poor generalization capability, especially for rare words.",,,,,,,suffer,suffer,['They'],[],,,,,https://www.semanticscholar.org/paper/BERT-for-Joint-Intent-Classification-and-Slot-Chen-Zhuo/476029ac9be26bf7f121a388f5c1e45d204efe52,18,Abstract,1,"They often suffer from small-scale human-labeled training data, resulting in poor generalization capability, especially for rare words.","['They', 'often', 'suffer', 'from', 'small-scale', 'human-labeled', 'training', 'data,', 'resulting', 'in', 'poor', 'generalization', 'capability,', 'especially', 'for', 'rare', 'words.']",,
141,"Recently a new language representation model,",BERT,"(Bidirectional Encoder Representations from Transformers), facilitates pre-training deep bidirectional representations on large-scale unlabeled corpora, and has created state-of-the-art models for a wide variety of natural language processing tasks after simple fine-tuning.",,,,,state,state,"['and', 'has', 'created']","['-', '-']",facilitates,Bidirectional,"['PROPN', 'PUNCT', 'NOUN']","['BERT', '(', 'model']",https://www.semanticscholar.org/paper/BERT-for-Joint-Intent-Classification-and-Slot-Chen-Zhuo/476029ac9be26bf7f121a388f5c1e45d204efe52,18,Abstract,2,"Recently a new language representation model, BERT (Bidirectional Encoder Representations from Transformers), facilitates pre-training deep bidirectional representations on large-scale unlabeled corpora, and has created state-of-the-art models for a wide variety of natural language processing tasks after simple fine-tuning.","['Recently', 'a', 'new', 'language', 'representation', 'model,', 'BERT', '(Bidirectional', 'Encoder', 'Representations', 'from', 'Transformers),', 'facilitates', 'pre-training', 'deep', 'bidirectional', 'representations', 'on', 'large-scale', 'unlabeled', 'corpora,', 'and', 'has', 'created', 'state-of-the-art', 'models', 'for', 'a', 'wide', 'variety', 'of', 'natural', 'language', 'processing', 'tasks', 'after', 'simple', 'fine-tuning.']","(6, 7)","(45, 49)"
142,"However , there has not been much effort on exploring",BERT,for natural language understanding .,exploring,[],['BERT'],-1.0,much,has not been much,"['However', ',', 'there']",['effort on exploring BERT for natural language understanding'],,for,"['PROPN', 'VERB', 'ADP']","['BERT', 'exploring', 'on']",https://www.semanticscholar.org/paper/BERT-for-Joint-Intent-Classification-and-Slot-Chen-Zhuo/476029ac9be26bf7f121a388f5c1e45d204efe52,18,Abstract,3,"However, there has not been much effort on exploring BERT for natural language understanding.","['However', ',', 'there', 'has', 'not', 'been', 'much', 'effort', 'on', 'exploring', 'BERT', 'for', 'natural', 'language', 'understanding', '.']","(10, 11)","(53, 57)"
143,"In this work , we propose a joint intent classification and slot filling model based on",BERT,.,based,['a joint intent classification and slot filling model'],[],-1.0,propose,propose,['we'],['a joint intent classification and slot filling model based on BERT'],,,"['PROPN', 'ADP', 'VERB']","['BERT', 'on', 'based']",https://www.semanticscholar.org/paper/BERT-for-Joint-Intent-Classification-and-Slot-Chen-Zhuo/476029ac9be26bf7f121a388f5c1e45d204efe52,18,Abstract,4,"In this work, we propose a joint intent classification and slot filling model based on BERT.","['In', 'this', 'work', ',', 'we', 'propose', 'a', 'joint', 'intent', 'classification', 'and', 'slot', 'filling', 'model', 'based', 'on', 'BERT', '.']","(16, 17)","(87, 91)"
144,"In this work , we propose",a joint intent classification and slot filling model based on BERT,.,based,['a joint intent classification and slot filling model'],[],0.0,propose,propose,['we'],['a joint intent classification and slot filling model based on BERT'],,,"['VERB', 'VERB']","['based', 'propose']",https://www.semanticscholar.org/paper/BERT-for-Joint-Intent-Classification-and-Slot-Chen-Zhuo/476029ac9be26bf7f121a388f5c1e45d204efe52,18,Abstract,4,"In this work, we propose a joint intent classification and slot filling model based on BERT.","['In', 'this', 'work', ',', 'we', 'propose', 'a', 'joint', 'intent', 'classification', 'and', 'slot', 'filling', 'model', 'based', 'on', 'BERT', '.']","(6, 17)","(25, 91)"
145,Experimental results demonstrate that,our proposed model,"achieves significant improvement on intent classification accuracy , slot filling F1 , and sentence - level semantic frame accuracy on several public benchmark datasets , compared to the attention - based recurrent neural network models and slot - gated models",achieves,['our proposed model'],['significant improvement'],1.0,demonstrate,demonstrate,['Experimental results'],"['and sentence - level semantic frame accuracy on several public benchmark datasets , compared to the attention - based recurrent neural network models and slot - gated models']",achieves,achieves,"['NOUN', 'VERB', 'VERB']","['model', 'achieves', 'demonstrate']",https://www.semanticscholar.org/paper/BERT-for-Joint-Intent-Classification-and-Slot-Chen-Zhuo/476029ac9be26bf7f121a388f5c1e45d204efe52,18,Abstract,5,"Experimental results demonstrate that our proposed model achieves significant improvement on intent classification accuracy, slot filling F1, and sentence-level semantic frame accuracy on several public benchmark datasets, compared to the attention-based recurrent neural network models and slot-gated models","['Experimental', 'results', 'demonstrate', 'that', 'our', 'proposed', 'model', 'achieves', 'significant', 'improvement', 'on', 'intent', 'classification', 'accuracy', ',', 'slot', 'filling', 'F1', ',', 'and', 'sentence', '-', 'level', 'semantic', 'frame', 'accuracy', 'on', 'several', 'public', 'benchmark', 'datasets', ',', 'compared', 'to', 'the', 'attention', '-', 'based', 'recurrent', 'neural', 'network', 'models', 'and', 'slot', '-', 'gated', 'models']","(4, 7)","(37, 55)"
146,,BERT,for Joint Intent Classification and Slot Filling.,,,,,BERT,BERT,[],[],,for,['PROPN'],['BERT'],https://www.semanticscholar.org/paper/BERT-for-Joint-Intent-Classification-and-Slot-Chen-Zhuo/476029ac9be26bf7f121a388f5c1e45d204efe52,18,Title,0,BERT for Joint Intent Classification and Slot Filling.,"['BERT', 'for', 'Joint', 'Intent', 'Classification', 'and', 'Slot', 'Filling.']","(0, 1)","(0, 4)"
147,Conversational search is an emerging topic in the information retrieval community.,,,,,,,is,is,['Conversational search'],['an emerging topic in the information retrieval community'],,,,,https://www.semanticscholar.org/paper/BERT-with-History-Answer-Embedding-for-Question-Qu-Yang/8495c1722e1f5107733c842839c2d298b9116921,19,Abstract,0,Conversational search is an emerging topic in the information retrieval community.,"['Conversational', 'search', 'is', 'an', 'emerging', 'topic', 'in', 'the', 'information', 'retrieval', 'community.']",,
148,One of the major challenges to multi-turn conversational search is to model the conversation history to answer the current question.,,,,,,,is,is,['One of the major challenges to multi - turn conversational search'],[],,,,,https://www.semanticscholar.org/paper/BERT-with-History-Answer-Embedding-for-Question-Qu-Yang/8495c1722e1f5107733c842839c2d298b9116921,19,Abstract,1,One of the major challenges to multi-turn conversational search is to model the conversation history to answer the current question.,"['One', 'of', 'the', 'major', 'challenges', 'to', 'multi-turn', 'conversational', 'search', 'is', 'to', 'model', 'the', 'conversation', 'history', 'to', 'answer', 'the', 'current', 'question.']",,
149,Existing methods either prepend history turns to the current question or use complicated attention mechanisms to model the history.,,,,,,,turns,turns,['Existing methods either prepend history'],[],,,,,https://www.semanticscholar.org/paper/BERT-with-History-Answer-Embedding-for-Question-Qu-Yang/8495c1722e1f5107733c842839c2d298b9116921,19,Abstract,2,Existing methods either prepend history turns to the current question or use complicated attention mechanisms to model the history.,"['Existing', 'methods', 'either', 'prepend', 'history', 'turns', 'to', 'the', 'current', 'question', 'or', 'use', 'complicated', 'attention', 'mechanisms', 'to', 'model', 'the', 'history.']",,
150,We propose a conceptually simple yet highly effective approach referred to as history answer embedding.,,,,,,,propose,propose,['We'],['a conceptually simple yet highly effective approach referred to as history answer embedding .'],,,,,https://www.semanticscholar.org/paper/BERT-with-History-Answer-Embedding-for-Question-Qu-Yang/8495c1722e1f5107733c842839c2d298b9116921,19,Abstract,3,We propose a conceptually simple yet highly effective approach referred to as history answer embedding.,"['We', 'propose', 'a', 'conceptually', 'simple', 'yet', 'highly', 'effective', 'approach', 'referred', 'to', 'as', 'history', 'answer', 'embedding.']",,
151,It enables seamless integration of conversation history into a conversational question answering (ConvQA) model built on,BERT,(Bidirectional Encoder Representations from Transformers).,built,[],[],-1.0,history,history,"['It enables', 'seamless integration of']",[],,Bidirectional,"['PROPN', 'ADP', 'VERB']","['BERT', 'on', 'built']",https://www.semanticscholar.org/paper/BERT-with-History-Answer-Embedding-for-Question-Qu-Yang/8495c1722e1f5107733c842839c2d298b9116921,19,Abstract,4,It enables seamless integration of conversation history into a conversational question answering (ConvQA) model built on BERT (Bidirectional Encoder Representations from Transformers).,"['It', 'enables', 'seamless', 'integration', 'of', 'conversation', 'history', 'into', 'a', 'conversational', 'question', 'answering', '(ConvQA)', 'model', 'built', 'on', 'BERT', '(Bidirectional', 'Encoder', 'Representations', 'from', 'Transformers).']","(16, 17)","(120, 124)"
152,"We first explain our view that ConvQA is a simplified but concrete setting of conversational search, and then we provide a general framework to solve ConvQA.",,,,,,,explain,explain,"['We', 'first']","['our', 'view that ConvQA is a simplified but concrete setting of conversational search ,', 'and then we provide a general framework to solve ConvQA .']",,,,,https://www.semanticscholar.org/paper/BERT-with-History-Answer-Embedding-for-Question-Qu-Yang/8495c1722e1f5107733c842839c2d298b9116921,19,Abstract,5,"We first explain our view that ConvQA is a simplified but concrete setting of conversational search, and then we provide a general framework to solve ConvQA.","['We', 'first', 'explain', 'our', 'view', 'that', 'ConvQA', 'is', 'a', 'simplified', 'but', 'concrete', 'setting', 'of', 'conversational', 'search,', 'and', 'then', 'we', 'provide', 'a', 'general', 'framework', 'to', 'solve', 'ConvQA.']",,
153,We further demonstrate the effectiveness of our approach under this framework.,,,,,,,demonstrate,demonstrate,"['We', 'further']",['the effectiveness of our approach under this framework'],,,,,https://www.semanticscholar.org/paper/BERT-with-History-Answer-Embedding-for-Question-Qu-Yang/8495c1722e1f5107733c842839c2d298b9116921,19,Abstract,6,We further demonstrate the effectiveness of our approach under this framework.,"['We', 'further', 'demonstrate', 'the', 'effectiveness', 'of', 'our', 'approach', 'under', 'this', 'framework.']",,
154,"Finally, we analyze the impact of different numbers of history turns under different settings to provide new insights into conversation history modeling in ConvQA",,,,,,,analyze,analyze,"[',', 'we']",['the impact of different numbers of history'],,,,,https://www.semanticscholar.org/paper/BERT-with-History-Answer-Embedding-for-Question-Qu-Yang/8495c1722e1f5107733c842839c2d298b9116921,19,Abstract,7,"Finally, we analyze the impact of different numbers of history turns under different settings to provide new insights into conversation history modeling in ConvQA","['Finally,', 'we', 'analyze', 'the', 'impact', 'of', 'different', 'numbers', 'of', 'history', 'turns', 'under', 'different', 'settings', 'to', 'provide', 'new', 'insights', 'into', 'conversation', 'history', 'modeling', 'in', 'ConvQA']",,
155,,BERT,with History Answer Embedding for Conversational Question Answering.,BERT,[],[],0.0,BERT,BERT,[],[],,with,['VERB'],['BERT'],https://www.semanticscholar.org/paper/BERT-with-History-Answer-Embedding-for-Question-Qu-Yang/8495c1722e1f5107733c842839c2d298b9116921,19,Title,0,BERT with History Answer Embedding for Conversational Question Answering.,"['BERT', 'with', 'History', 'Answer', 'Embedding', 'for', 'Conversational', 'Question', 'Answering.']","(0, 1)","(0, 4)"
