,split_0,split_1,split_2,c_senttype,c_sentparts,c_subj_full,c_subj_split,c_subj_span0,c_subj_span1,c_subj_cspan0,c_subj_cspan1,c_verb_full,c_verb_split,c_verb_span0,c_verb_span1,c_verb_cspan0,c_verb_cspan1,c_subj_list,c_verb_list,d_averb,d_averb_s,d_averb_o,d_averb_relation,d_averb_split,d_averb_span0,d_averb_span1,d_averb_cspan0,d_averb_cspan1,d_root,d_root_full,d_root_s,d_root_o,d_root_split,d_root_span0,d_root_span1,d_root_cspan0,d_root_cspan1,fverb,fword,d_apos,d_apos_w,URL,ID,Type,Index,Text,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index,order_cluster
129,Pre-Training with Whole Word Masking for Chinese,BERT,.,NP,"['JJ', 'JJ', 'NP', 'PP', '.']",Pre - Training,0.0,0.0,14.0,0.0,14.0,,,,,,,"['Pre', '-', 'Training']",[],,,,,,,,,,Training,Training,['Pre'],[],0,6,15,6,15,,,"['NOUN', 'ADP', 'PROPN']","['BERT', 'for', 'Masking']",https://www.semanticscholar.org/paper/Pre-Training-with-Whole-Word-Masking-for-Chinese-Cui-Che/2ff41a463a374b138bb5a012e5a32bc4beefec20,16,Title,0,Pre-Training with Whole Word Masking for Chinese BERT.,"['Pre-Training', 'with', 'Whole', 'Word', 'Masking', 'for', 'Chinese', 'BERT', '.']","(7, 8)","(48, 52)",0.0,112.0
130,,BERT,model has been successfully applied to open - domain QA tasks .,S,"['NP', 'VP', '.']",BERT model,1.0,0.0,10.0,0.0,10.0,has been applied,2.0,11.0,40.0,6.0,35.0,"['BERT', 'model']","['has', 'been', 'applied']",,,,,,,,,,successfully,has been successfully,['BERT model'],"['applied to open - domain QA tasks', '.']",2,11,33,6,28,has,model,"['PROPN', 'NOUN', 'ADV']","['BERT', 'model', 'successfully']",https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Abstract,0,BERT model has been successfully applied to open-domain QA tasks.,"['BERT', 'model', 'has', 'been', 'successfully', 'applied', 'to', 'open', '-', 'domain', 'QA', 'tasks', '.']","(0, 1)","(0, 4)",0.0,200.0
131,"However , previous work trains",BERT,"by viewing passages corresponding to the same question as independent training instances , which may cause incomparable scores for answers from different passages .",S,"['ADVP', ',', 'NP', 'VP', '.']",previous work,0.0,10.0,23.0,10.0,23.0,trains BERT,0.0,24.0,35.0,24.0,35.0,"['previous', 'work']","['trains', 'BERT']",BERT,['previous work trains'],[],0.0,1.0,31.0,36.0,0.0,5.0,cause,may cause,"['However', ',', 'which', 'previous work trains BERT by viewing passages corresponding to the same question as independent training instances ,']",['incomparable scores'],2,133,143,97,107,viewing,by,"['VERB', 'VERB']","['BERT', 'cause']",https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Abstract,1,"However, previous work trains BERT by viewing passages corresponding to the same question as independent training instances, which may cause incomparable scores for answers from different passages.","['However', ',', 'previous', 'work', 'trains', 'BERT', 'by', 'viewing', 'passages', 'corresponding', 'to', 'the', 'same', 'question', 'as', 'independent', 'training', 'instances', ',', 'which', 'may', 'cause', 'incomparable', 'scores', 'for', 'answers', 'from', 'different', 'passages', '.']","(5, 6)","(30, 34)",0.0,155.0
132,"To tackle this issue , we propose",a multi - passage BERT model to globally normalize answer scores across all passages of the same question,", and this change enables our QA model find better answers by utilizing more passages .",S,"['S', ',', 'CC', 'S', '.']",,,,,,,and,2.0,142.0,145.0,2.0,5.0,"['we', 'this', 'change']","['tackle', 'propose', 'enables', 'find']",propose,"['To', 'we', 'tackle this issue']","['a multi - passage BERT model to globally normalize answer scores across all passages of the same question ,', 'this change enables our QA model find better answers by utilizing more passages .']",-1.0,0.0,26.0,34.0,26.0,34.0,propose,propose,"['To', 'we', 'tackle this issue']","['a multi - passage BERT model to globally normalize answer scores across all passages of the same question ,', 'this change enables our QA model find better answers by utilizing more passages .']",0,26,34,26,34,enables,and,"['NOUN', 'VERB']","['model', 'propose']",https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Abstract,2,"To tackle this issue, we propose a multi-passage BERT model to globally normalize answer scores across all passages of the same question, and this change enables our QA model find better answers by utilizing more passages.","['To', 'tackle', 'this', 'issue', ',', 'we', 'propose', 'a', 'multi', '-', 'passage', 'BERT', 'model', 'to', 'globally', 'normalize', 'answer', 'scores', 'across', 'all', 'passages', 'of', 'the', 'same', 'question', ',', 'and', 'this', 'change', 'enables', 'our', 'QA', 'model', 'find', 'better', 'answers', 'by', 'utilizing', 'more', 'passages', '.']","(7, 25)","(33, 138)",18.0,
133,"In addition, we find that splitting articles into passages with the length of 100 words by sliding window improves performance by 4%.",,,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,14.0,16.0,14.0,16.0,find,0.0,17.0,21.0,17.0,21.0,['we'],['find'],,,,,,,,,,find,find,"[',', 'we']",['.'],0,17,22,17,22,,,,,https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Abstract,3,"In addition, we find that splitting articles into passages with the length of 100 words by sliding window improves performance by 4%.","['In', 'addition,', 'we', 'find', 'that', 'splitting', 'articles', 'into', 'passages', 'with', 'the', 'length', 'of', '100', 'words', 'by', 'sliding', 'window', 'improves', 'performance', 'by', '4%.']",,,,20.0
134,"By leveraging a passage ranker to select high-quality passages , multi-passage",BERT,gains additional 2 % .,S,"['IN', 'VBG', 'NP', 'TO', 'VB', 'ADJP', 'HYPH', 'NP', ',', 'JJ', 'JJ', 'JJ', 'NP', 'VP', '.']",a passage ranker quality passages multi - passage BERT,0.0,14.0,87.0,14.0,87.0,leveraging select gains,0.0,3.0,93.0,3.0,93.0,"['a', 'passage', 'ranker', 'quality', 'passages', 'multi', '-', 'passage', 'BERT']","['leveraging', 'select', 'gains']",gains,['BERT .'],['additional 2 %'],1.0,2.0,88.0,94.0,4.0,10.0,By,By,[],[],0,0,3,0,3,,gains,"['PROPN', 'VERB', 'ADJ']","['BERT', 'gains', 'passage']",https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Abstract,4,"By leveraging a passage ranker to select high-quality passages, multi-passage BERT gains additional 2%.","['By', 'leveraging', 'a', 'passage', 'ranker', 'to', 'select', 'high-quality', 'passages', ',', 'multi-passage', 'BERT', 'gains', 'additional', '2', '%', '.']","(11, 12)","(78, 82)",0.0,201.0
135,Experiments on four standard benchmarks showed that,our multi - passage BERT,outperforms all state - of - the - art models on all benchmarks .,S,"['NP', 'VP', '.']",Experiments,0.0,0.0,11.0,0.0,11.0,showed,0.0,40.0,46.0,40.0,46.0,['Experiments'],['showed'],showed,['Experiments on four standard benchmarks'],['that our multi - passage BERT outperforms all state - of - the - art models on all benchmarks'],-1.0,0.0,40.0,47.0,40.0,47.0,showed,showed,['Experiments on four standard benchmarks'],['that our multi - passage BERT outperforms all state - of - the - art models on all benchmarks'],0,40,47,40,47,outperforms,outperforms,"['PROPN', 'VERB']","['BERT', 'showed']",https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Abstract,5,Experiments on four standard benchmarks showed that our multi-passage BERT outperforms all state-of-the-art models on all benchmarks.,"['Experiments', 'on', 'four', 'standard', 'benchmarks', 'showed', 'that', 'our', 'multi', '-', 'passage', 'BERT', 'outperforms', 'all', 'state', '-', 'of', '-', 'the', '-', 'art', 'models', 'on', 'all', 'benchmarks', '.']","(7, 12)","(51, 75)",20.0,110.0
136,"In particular , on the OpenSQuAD dataset , our model gains 21.4 % EM and 21.5 % $ F_1 $ over all non -",BERT,"models , and 5.8 % EM and 6.5 % $ F_1 $ over BERT - based models",S,"['PP', ',', 'PP', ',', 'NP', 'VP']",model,0.0,47.0,52.0,47.0,52.0,gains and and based,0.0,53.0,165.0,53.0,165.0,['model'],"['gains', 'based']",,,,,,,,,,and,and,"['In particular , on the OpenSQuAD dataset , our model gains 21.4 % EM 21.5 % $ F_1 $ over all non - BERT models , and 5.8 % EM and 6.5 % $ F_1 $ over BERT - based models']",[],0,69,73,69,73,based,models,"['ADJ', 'NOUN', 'ADJ']","['BERT', 'models', 'non']",https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Abstract,6,"In particular, on the OpenSQuAD dataset, our model gains 21.4% EM and 21.5% $F_1$ over all non-BERT models, and 5.8% EM and 6.5% $F_1$ over BERT-based models","['In', 'particular', ',', 'on', 'the', 'OpenSQuAD', 'dataset', ',', 'our', 'model', 'gains', '21.4', '%', 'EM', 'and', '21.5', '%', '$', 'F_1', '$', 'over', 'all', 'non', '-', 'BERT', 'models', ',', 'and', '5.8', '%', 'EM', 'and', '6.5', '%', '$', 'F_1', '$', 'over', 'BERT', '-', 'based', 'models']","(24, 25)","(102, 106)",0.0,145.0
137,"In particular , on the OpenSQuAD dataset ,",our model,"gains 21.4 % EM and 21.5 % $ F_1 $ over all non - BERT models , and 5.8 % EM and 6.5 % $ F_1 $ over BERT - based models",S,"['PP', ',', 'PP', ',', 'NP', 'VP']",model,1.0,47.0,52.0,4.0,9.0,gains and and based,2.0,53.0,165.0,0.0,112.0,['model'],"['gains', 'based']",,,,,,,,,,and,and,"['In particular , on the OpenSQuAD dataset , our model gains 21.4 % EM 21.5 % $ F_1 $ over all non - BERT models , and 5.8 % EM and 6.5 % $ F_1 $ over BERT - based models']",[],2,69,73,16,20,based,gains,"['NOUN', 'ADP', 'ADP']","['model', 'on', 'In']",https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Abstract,6,"In particular, on the OpenSQuAD dataset, our model gains 21.4% EM and 21.5% $F_1$ over all non-BERT models, and 5.8% EM and 6.5% $F_1$ over BERT-based models","['In', 'particular', ',', 'on', 'the', 'OpenSQuAD', 'dataset', ',', 'our', 'model', 'gains', '21.4', '%', 'EM', 'and', '21.5', '%', '$', 'F_1', '$', 'over', 'all', 'non', '-', 'BERT', 'models', ',', 'and', '5.8', '%', 'EM', 'and', '6.5', '%', '$', 'F_1', '$', 'over', 'BERT', '-', 'based', 'models']","(8, 10)","(42, 51)",-1.0,146.0
138,Multi-passage,BERT,: A Globally Normalized BERT Model for Open-domain Question Answering .,NP,"['JJ', 'JJ', 'JJ', 'NNS', ':', 'NP', '.']",Multi - passage BERT A BERT Model,0.0,0.0,55.0,0.0,55.0,,,,,,,"['Multi', '-', 'passage', 'BERT', 'A', 'BERT', 'Model']",[],,,,,,,,,,passage,passage,['-'],"['Multi BERT', ': A Globally Normalized BERT Model for Open - domain Question Answering .']",0,8,16,8,16,,A,"['NOUN', 'ADJ']","['BERT', 'passage']",https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Title,0,Multi-passage BERT: A Globally Normalized BERT Model for Open-domain Question Answering.,"['Multi-passage', 'BERT', ':', 'A', 'Globally', 'Normalized', 'BERT', 'Model', 'for', 'Open-domain', 'Question', 'Answering', '.']","(1, 2)","(13, 17)",0.0,202.0
139,Multi-passage BERT : A Globally Normalized,BERT,Model for Open-domain Question Answering .,NP,"['JJ', 'JJ', 'JJ', 'NNS', ':', 'NP', '.']",Multi - passage BERT A BERT Model,0.0,0.0,55.0,0.0,55.0,,,,,,,"['Multi', '-', 'passage', 'BERT', 'A', 'BERT', 'Model']",[],,,,,,,,,,passage,passage,['-'],"['Multi BERT', ': A Globally Normalized BERT Model for Open - domain Question Answering .']",0,8,16,8,16,,Model,"['NOUN', 'ADJ', 'ADV']","['BERT', 'Normalized', 'Globally']",https://www.semanticscholar.org/paper/Multi-passage-BERT%3A-A-Globally-Normalized-BERT-for-Wang-Ng/0cf535110808d33fdf4db3ffa1621dea16e29c0d,17,Title,0,Multi-passage BERT: A Globally Normalized BERT Model for Open-domain Question Answering.,"['Multi-passage', 'BERT', ':', 'A', 'Globally', 'Normalized', 'BERT', 'Model', 'for', 'Open-domain', 'Question', 'Answering', '.']","(6, 7)","(42, 46)",0.0,203.0
140,Intent classification and slot filling are two essential tasks for natural language understanding.,,,S,"['NP', 'VP', '.']",Intent classification slot filling,0.0,0.0,38.0,0.0,38.0,are,0.0,39.0,42.0,39.0,42.0,"['Intent', 'classification', 'slot', 'filling']",['are'],,,,,,,,,,are,are,"['Intent classification and', 'slot filling', 'two essential tasks for natural language understanding']",[],0,39,43,39,43,,,,,https://www.semanticscholar.org/paper/BERT-for-Joint-Intent-Classification-and-Slot-Chen-Zhuo/476029ac9be26bf7f121a388f5c1e45d204efe52,18,Abstract,0,Intent classification and slot filling are two essential tasks for natural language understanding.,"['Intent', 'classification', 'and', 'slot', 'filling', 'are', 'two', 'essential', 'tasks', 'for', 'natural', 'language', 'understanding.']",,,,136.0
141,"They often suffer from small-scale human-labeled training data, resulting in poor generalization capability, especially for rare words.",,,S,"['NP', 'ADVP', 'VP', '.']",They,0.0,0.0,4.0,0.0,4.0,suffer,0.0,11.0,17.0,11.0,17.0,['They'],"['suffer', 'resulting']",,,,,,,,,,suffer,suffer,['They'],[],0,11,18,11,18,,,,,https://www.semanticscholar.org/paper/BERT-for-Joint-Intent-Classification-and-Slot-Chen-Zhuo/476029ac9be26bf7f121a388f5c1e45d204efe52,18,Abstract,1,"They often suffer from small-scale human-labeled training data, resulting in poor generalization capability, especially for rare words.","['They', 'often', 'suffer', 'from', 'small-scale', 'human-labeled', 'training', 'data,', 'resulting', 'in', 'poor', 'generalization', 'capability,', 'especially', 'for', 'rare', 'words.']",,,,50.0
142,"Recently a new language representation model ,",BERT,"( Bidirectional Encoder Representations from Transformers ) , facilitates pre-training deep bidirectional representations on large-scale unlabeled corpora , and has created state-of-the-art models for a wide variety of natural language processing tasks after simple fine-tuning .",S,"['ADVP', 'NP', 'VP', '.']",a new language representation model BERT Bidirectional Encoder Representations,0.0,9.0,91.0,9.0,91.0,facilitates and has created,2.0,114.0,228.0,62.0,176.0,"['a', 'new', 'language', 'representation', 'model', 'BERT', 'Bidirectional', 'Encoder', 'Representations']","['facilitates', 'has', 'created']",,,,,,,,,,state,state,"['and', 'has', 'created']","['-', '-']",2,229,235,177,183,facilitates,Bidirectional,"['PROPN', 'PUNCT', 'NOUN']","['BERT', '(', 'model']",https://www.semanticscholar.org/paper/BERT-for-Joint-Intent-Classification-and-Slot-Chen-Zhuo/476029ac9be26bf7f121a388f5c1e45d204efe52,18,Abstract,2,"Recently a new language representation model, BERT (Bidirectional Encoder Representations from Transformers), facilitates pre-training deep bidirectional representations on large-scale unlabeled corpora, and has created state-of-the-art models for a wide variety of natural language processing tasks after simple fine-tuning.","['Recently', 'a', 'new', 'language', 'representation', 'model', ',', 'BERT', '(', 'Bidirectional', 'Encoder', 'Representations', 'from', 'Transformers', ')', ',', 'facilitates', 'pre-training', 'deep', 'bidirectional', 'representations', 'on', 'large-scale', 'unlabeled', 'corpora', ',', 'and', 'has', 'created', 'state-of-the-art', 'models', 'for', 'a', 'wide', 'variety', 'of', 'natural', 'language', 'processing', 'tasks', 'after', 'simple', 'fine-tuning', '.']","(7, 8)","(46, 50)",0.0,204.0
143,"However , there has not been much effort on exploring",BERT,for natural language understanding .,S,"['ADVP', ',', 'NP', 'VP', '.']",,,,,,,has been,0.0,16.0,28.0,16.0,28.0,[],"['has', 'been']",exploring,[],['BERT'],-1.0,0.0,44.0,54.0,44.0,54.0,much,has not been much,"['However', ',', 'there']",['effort on exploring BERT for natural language understanding'],0,16,34,16,34,,for,"['PROPN', 'VERB', 'ADP']","['BERT', 'exploring', 'on']",https://www.semanticscholar.org/paper/BERT-for-Joint-Intent-Classification-and-Slot-Chen-Zhuo/476029ac9be26bf7f121a388f5c1e45d204efe52,18,Abstract,3,"However, there has not been much effort on exploring BERT for natural language understanding.","['However', ',', 'there', 'has', 'not', 'been', 'much', 'effort', 'on', 'exploring', 'BERT', 'for', 'natural', 'language', 'understanding', '.']","(10, 11)","(53, 57)",0.0,
144,"In this work , we propose a joint intent classification and slot filling model based on",BERT,.,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,15.0,17.0,15.0,17.0,propose,0.0,18.0,25.0,18.0,25.0,['we'],['propose'],based,['a joint intent classification and slot filling model'],[],-1.0,0.0,79.0,85.0,79.0,85.0,propose,propose,['we'],['a joint intent classification and slot filling model based on BERT'],0,18,26,18,26,,,"['PROPN', 'ADP', 'VERB']","['BERT', 'on', 'based']",https://www.semanticscholar.org/paper/BERT-for-Joint-Intent-Classification-and-Slot-Chen-Zhuo/476029ac9be26bf7f121a388f5c1e45d204efe52,18,Abstract,4,"In this work, we propose a joint intent classification and slot filling model based on BERT.","['In', 'this', 'work', ',', 'we', 'propose', 'a', 'joint', 'intent', 'classification', 'and', 'slot', 'filling', 'model', 'based', 'on', 'BERT', '.']","(16, 17)","(87, 91)",0.0,19.0
145,"In this work , we propose",a joint intent classification and slot filling model based on BERT,.,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,15.0,17.0,15.0,17.0,propose,0.0,18.0,25.0,18.0,25.0,['we'],['propose'],based,['a joint intent classification and slot filling model'],[],0.0,1.0,79.0,85.0,53.0,59.0,propose,propose,['we'],['a joint intent classification and slot filling model based on BERT'],0,18,26,18,26,,,"['VERB', 'VERB']","['based', 'propose']",https://www.semanticscholar.org/paper/BERT-for-Joint-Intent-Classification-and-Slot-Chen-Zhuo/476029ac9be26bf7f121a388f5c1e45d204efe52,18,Abstract,4,"In this work, we propose a joint intent classification and slot filling model based on BERT.","['In', 'this', 'work', ',', 'we', 'propose', 'a', 'joint', 'intent', 'classification', 'and', 'slot', 'filling', 'model', 'based', 'on', 'BERT', '.']","(6, 17)","(25, 91)",62.0,18.0
146,Experimental results demonstrate that,our proposed model,"achieves significant improvement on intent classification accuracy , slot filling F1 , and sentence - level semantic frame accuracy on several public benchmark datasets , compared to the attention - based recurrent neural network models and slot - gated models",S,"['NP', 'VP']",Experimental results,0.0,0.0,20.0,0.0,20.0,demonstrate,0.0,21.0,32.0,21.0,32.0,"['Experimental', 'results']",['demonstrate'],achieves,['our proposed model'],['significant improvement'],1.0,2.0,57.0,66.0,0.0,9.0,demonstrate,demonstrate,['Experimental results'],"['and sentence - level semantic frame accuracy on several public benchmark datasets , compared to the attention - based recurrent neural network models and slot - gated models']",0,21,33,21,33,achieves,achieves,"['NOUN', 'VERB', 'VERB']","['model', 'achieves', 'demonstrate']",https://www.semanticscholar.org/paper/BERT-for-Joint-Intent-Classification-and-Slot-Chen-Zhuo/476029ac9be26bf7f121a388f5c1e45d204efe52,18,Abstract,5,"Experimental results demonstrate that our proposed model achieves significant improvement on intent classification accuracy, slot filling F1, and sentence-level semantic frame accuracy on several public benchmark datasets, compared to the attention-based recurrent neural network models and slot-gated models","['Experimental', 'results', 'demonstrate', 'that', 'our', 'proposed', 'model', 'achieves', 'significant', 'improvement', 'on', 'intent', 'classification', 'accuracy', ',', 'slot', 'filling', 'F1', ',', 'and', 'sentence', '-', 'level', 'semantic', 'frame', 'accuracy', 'on', 'several', 'public', 'benchmark', 'datasets', ',', 'compared', 'to', 'the', 'attention', '-', 'based', 'recurrent', 'neural', 'network', 'models', 'and', 'slot', '-', 'gated', 'models']","(4, 7)","(37, 55)",-1.0,93.0
147,,BERT,for Joint Intent Classification and Slot Filling .,NP,"['NP', 'PP', '.']",BERT,1.0,0.0,4.0,0.0,4.0,,,,,,,['BERT'],[],,,,,,,,,,BERT,BERT,[],[],1,0,5,0,5,,for,['PROPN'],['BERT'],https://www.semanticscholar.org/paper/BERT-for-Joint-Intent-Classification-and-Slot-Chen-Zhuo/476029ac9be26bf7f121a388f5c1e45d204efe52,18,Title,0,BERT for Joint Intent Classification and Slot Filling.,"['BERT', 'for', 'Joint', 'Intent', 'Classification', 'and', 'Slot', 'Filling', '.']","(0, 1)","(0, 4)",0.0,191.0
148,Conversational search is an emerging topic in the information retrieval community.,,,S,"['NP', 'VP', '.']",Conversational search,0.0,0.0,21.0,0.0,21.0,is,0.0,22.0,24.0,22.0,24.0,"['Conversational', 'search']",['is'],,,,,,,,,,is,is,['Conversational search'],['an emerging topic in the information retrieval community'],0,22,25,22,25,,,,,https://www.semanticscholar.org/paper/BERT-with-History-Answer-Embedding-for-Question-Qu-Yang/8495c1722e1f5107733c842839c2d298b9116921,19,Abstract,0,Conversational search is an emerging topic in the information retrieval community.,"['Conversational', 'search', 'is', 'an', 'emerging', 'topic', 'in', 'the', 'information', 'retrieval', 'community.']",,,,116.0
149,One of the major challenges to multi-turn conversational search is to model the conversation history to answer the current question.,,,S,"['NP', 'VP', '.']",,,,,,,is,0.0,66.0,68.0,66.0,68.0,[],"['is', 'model', 'answer']",,,,,,,,,,is,is,['One of the major challenges to multi - turn conversational search'],[],0,66,69,66,69,,,,,https://www.semanticscholar.org/paper/BERT-with-History-Answer-Embedding-for-Question-Qu-Yang/8495c1722e1f5107733c842839c2d298b9116921,19,Abstract,1,One of the major challenges to multi-turn conversational search is to model the conversation history to answer the current question.,"['One', 'of', 'the', 'major', 'challenges', 'to', 'multi-turn', 'conversational', 'search', 'is', 'to', 'model', 'the', 'conversation', 'history', 'to', 'answer', 'the', 'current', 'question.']",,,,
150,Existing methods either prepend history turns to the current question or use complicated attention mechanisms to model the history.,,,S,"['NP', 'VP', '.']",methods,0.0,9.0,16.0,9.0,16.0,either turns or use,0.0,17.0,76.0,17.0,76.0,['methods'],"['turns', 'use', 'model']",,,,,,,,,,turns,turns,['Existing methods either prepend history'],[],0,40,46,40,46,,,,,https://www.semanticscholar.org/paper/BERT-with-History-Answer-Embedding-for-Question-Qu-Yang/8495c1722e1f5107733c842839c2d298b9116921,19,Abstract,2,Existing methods either prepend history turns to the current question or use complicated attention mechanisms to model the history.,"['Existing', 'methods', 'either', 'prepend', 'history', 'turns', 'to', 'the', 'current', 'question', 'or', 'use', 'complicated', 'attention', 'mechanisms', 'to', 'model', 'the', 'history.']",,,,162.0
151,We propose a conceptually simple yet highly effective approach referred to as history answer embedding.,,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,propose,0.0,3.0,10.0,3.0,10.0,['We'],['propose'],,,,,,,,,,propose,propose,['We'],['a conceptually simple yet highly effective approach referred to as history answer embedding .'],0,3,11,3,11,,,,,https://www.semanticscholar.org/paper/BERT-with-History-Answer-Embedding-for-Question-Qu-Yang/8495c1722e1f5107733c842839c2d298b9116921,19,Abstract,3,We propose a conceptually simple yet highly effective approach referred to as history answer embedding.,"['We', 'propose', 'a', 'conceptually', 'simple', 'yet', 'highly', 'effective', 'approach', 'referred', 'to', 'as', 'history', 'answer', 'embedding.']",,,,71.0
152,It enables seamless integration of conversation history into a conversational question answering ( ConvQA ) model built on,BERT,( Bidirectional Encoder Representations from Transformers ) .,S,"['NP', 'VP', '.']",It,0.0,0.0,2.0,0.0,2.0,enables,0.0,3.0,10.0,3.0,10.0,['It'],['enables'],built,[],[],-1.0,0.0,114.0,120.0,114.0,120.0,history,history,"['It enables', 'seamless integration of']",[],0,48,56,48,56,,Bidirectional,"['PROPN', 'ADP', 'VERB']","['BERT', 'on', 'built']",https://www.semanticscholar.org/paper/BERT-with-History-Answer-Embedding-for-Question-Qu-Yang/8495c1722e1f5107733c842839c2d298b9116921,19,Abstract,4,It enables seamless integration of conversation history into a conversational question answering (ConvQA) model built on BERT (Bidirectional Encoder Representations from Transformers).,"['It', 'enables', 'seamless', 'integration', 'of', 'conversation', 'history', 'into', 'a', 'conversational', 'question', 'answering', '(', 'ConvQA', ')', 'model', 'built', 'on', 'BERT', '(', 'Bidirectional', 'Encoder', 'Representations', 'from', 'Transformers', ')', '.']","(18, 19)","(122, 126)",0.0,132.0
153,"We first explain our view that ConvQA is a simplified but concrete setting of conversational search, and then we provide a general framework to solve ConvQA.",,,S,"['S', ',', 'CC', 'ADVP', 'NP', 'VP', '.']",we,0.0,111.0,113.0,111.0,113.0,and provide,0.0,102.0,121.0,102.0,121.0,"['We', 'we']","['explain', 'provide']",,,,,,,,,,explain,explain,"['We', 'first']","['our', 'view that ConvQA is a simplified but concrete setting of conversational search ,', 'and then we provide a general framework to solve ConvQA .']",0,9,17,9,17,,,,,https://www.semanticscholar.org/paper/BERT-with-History-Answer-Embedding-for-Question-Qu-Yang/8495c1722e1f5107733c842839c2d298b9116921,19,Abstract,5,"We first explain our view that ConvQA is a simplified but concrete setting of conversational search, and then we provide a general framework to solve ConvQA.","['We', 'first', 'explain', 'our', 'view', 'that', 'ConvQA', 'is', 'a', 'simplified', 'but', 'concrete', 'setting', 'of', 'conversational', 'search,', 'and', 'then', 'we', 'provide', 'a', 'general', 'framework', 'to', 'solve', 'ConvQA.']",,,,17.0
154,We further demonstrate the effectiveness of our approach under this framework.,,,S,"['NP', 'ADVP', 'VBP', 'NP', '.']",We the effectiveness,0.0,0.0,40.0,0.0,40.0,demonstrate,0.0,11.0,22.0,11.0,22.0,"['We', 'the', 'effectiveness']",['demonstrate'],,,,,,,,,,demonstrate,demonstrate,"['We', 'further']",['the effectiveness of our approach under this framework'],0,11,23,11,23,,,,,https://www.semanticscholar.org/paper/BERT-with-History-Answer-Embedding-for-Question-Qu-Yang/8495c1722e1f5107733c842839c2d298b9116921,19,Abstract,6,We further demonstrate the effectiveness of our approach under this framework.,"['We', 'further', 'demonstrate', 'the', 'effectiveness', 'of', 'our', 'approach', 'under', 'this', 'framework.']",,,,49.0
155,"Finally, we analyze the impact of different numbers of history turns under different settings to provide new insights into conversation history modeling in ConvQA",,,S,"['ADVP', ',', 'NP', 'VP']",we,0.0,10.0,12.0,10.0,12.0,analyze turns,0.0,13.0,69.0,13.0,69.0,['we'],"['analyze', 'turns', 'provide']",,,,,,,,,,analyze,analyze,"[',', 'we']",['the impact of different numbers of history'],0,13,21,13,21,,,,,https://www.semanticscholar.org/paper/BERT-with-History-Answer-Embedding-for-Question-Qu-Yang/8495c1722e1f5107733c842839c2d298b9116921,19,Abstract,7,"Finally, we analyze the impact of different numbers of history turns under different settings to provide new insights into conversation history modeling in ConvQA","['Finally,', 'we', 'analyze', 'the', 'impact', 'of', 'different', 'numbers', 'of', 'history', 'turns', 'under', 'different', 'settings', 'to', 'provide', 'new', 'insights', 'into', 'conversation', 'history', 'modeling', 'in', 'ConvQA']",,,,16.0
156,,BERT,with History Answer Embedding for Conversational Question Answering .,S,"['VP', '.']",,,,,,,BERT,1.0,0.0,4.0,0.0,4.0,[],['BERT'],BERT,[],[],0.0,1.0,0.0,5.0,0.0,5.0,BERT,BERT,[],[],1,0,5,0,5,,with,['VERB'],['BERT'],https://www.semanticscholar.org/paper/BERT-with-History-Answer-Embedding-for-Question-Qu-Yang/8495c1722e1f5107733c842839c2d298b9116921,19,Title,0,BERT with History Answer Embedding for Conversational Question Answering.,"['BERT', 'with', 'History', 'Answer', 'Embedding', 'for', 'Conversational', 'Question', 'Answering', '.']","(0, 1)","(0, 4)",0.0,
