,src,alignsegments,aligntypes,alignctypes
4049,newly diagnosed T1D,"['newly diagnosed', 'T1D']","['ADJP', 'NP']","[['RB', 'VBN'], ['NNP']]"
4072,in type 1 diabetes,"['in', 'type 1 diabetes']","['PP', 'NP']","[['IN'], ['NN', 'CD', 'NN']]"
4075,type 1 diabetes,['type 1 diabetes'],['NP'],"[['NN', 'CD', 'NN']]"
4079,endometriosis ( EMs ) -related infertility patients .,['endometriosis ( EMs ) -related infertility patients .'],['NP'],"[['NNP', '-LRB-', 'NNP', '-RRB-', 'CD', 'NN', 'NNS', '.']]"
4083,endometriosis ( EMs ) -related infertility patients .,['endometriosis ( EMs ) -related infertility patients .'],['NP'],"[['NNP', '-LRB-', 'NNP', '-RRB-', 'CD', 'NN', 'NNS', '.']]"
4087,130 EMs-related infertility patients of blood stasis and toxin accumulation syndrome diagnosed and treated by laparoscopic surgery,"['130 EMs - related infertility patients of blood stasis and toxin accumulation syndrome diagnosed and treated', 'by', 'laparoscopic surgery']","['NP', 'PP', 'NP']","[['CD', 'NNS', 'HYPH', 'VBN', 'NN', 'NNS', 'IN', 'NN', 'NN', 'CC', 'VB', 'NN', 'NN', 'VBN', 'CC', 'VBN'], ['IN'], ['NNP', 'NN']]"
4088,130 EMs-related infertility patients,['130 EMs - related infertility patients'],['NP'],"[['CD', 'NNS', 'HYPH', 'VBN', 'NN', 'NNS']]"
4089,blood stasis and toxin accumulation syndrome diagnosed and treated by laparoscopic surgery,"['blood stasis and toxin accumulation syndrome diagnosed and treated', 'by', 'laparoscopic surgery']","['NP', 'PP', 'NP']","[['NN', 'NN', 'CC', 'VB', 'NN', 'NN', 'VBN', 'CC', 'VBN'], ['IN'], ['NNP', 'NN']]"
4112,EMs patients of blood stasis and toxin accumulation syndrome,"['EMs patients', 'of', 'blood stasis and toxin accumulation syndrome']","['NP', 'PP', 'NP']","[['NNP', 'NNS'], ['IN'], ['NN', 'NN', 'CC', 'VB', 'NN', 'NN']]"
4127,EMs-related infertility .,['EMs - related infertility .'],['NP'],"[['NNS', 'HYPH', 'VBN', 'NN', '.']]"
4130,endometriosis-related infertility patients,['endometriosis - related infertility patients'],['NP'],"[['NN', 'HYPH', 'VBN', 'NN', 'NNS']]"
4133,endometriosis-related infertility patients,['endometriosis - related infertility patients'],['NP'],"[['NN', 'HYPH', 'VBN', 'NN', 'NNS']]"
4136,patients with moderate to severe congestive heart failure .,"['patients', 'with', 'moderate to severe congestive heart failure .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'IN', 'JJ', 'JJ', 'NN', 'NN', '.']]"
4140,patients with moderate to severe congestive heart failure .,"['patients', 'with', 'moderate to severe congestive heart failure .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'IN', 'JJ', 'JJ', 'NN', 'NN', '.']]"
4143,Seventeen patients on chronic digitalis and diuretic therapy,"['Seventeen patients', 'on', 'chronic digitalis and diuretic therapy']","['NP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['JJ', 'NNPS', 'CC', 'JJ', 'NN']]"
4146,Seventeen patients on chronic digitalis and diuretic therapy,"['Seventeen patients', 'on', 'chronic digitalis and diuretic therapy']","['NP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['JJ', 'NNPS', 'CC', 'JJ', 'NN']]"
4167,patients with moderate to severe chronic heart failure .,"['patients', 'with', 'moderate to severe', 'chronic heart failure .']","['NP', 'PP', 'ADJP', 'NP']","[['NNS'], ['IN'], ['JJ', 'IN', 'JJ'], ['JJ', 'NN', 'NN', '.']]"
4169,patients with moderate to severe chronic heart failure .,"['patients', 'with', 'moderate to severe', 'chronic heart failure .']","['NP', 'PP', 'ADJP', 'NP']","[['NNS'], ['IN'], ['JJ', 'IN', 'JJ'], ['JJ', 'NN', 'NN', '.']]"
4172,congestive heart failure .,['congestive heart failure .'],['NP'],"[['JJ', 'NN', 'NN', '.']]"
4174,congestive heart failure .,['congestive heart failure .'],['NP'],"[['JJ', 'NN', 'NN', '.']]"
4187,"The sample comprised 186 patients ( mean age 70 years , 123 ( 66 % ) female patients , 130 ( 70 % ) trauma ) who were referred for physiotherapy assessment/intervention .","['The sample', 'comprised', '186 patients ( mean age 70 years , 123 ( 66 % ) female patients , 130 (', '70 %', ') trauma )', 'who', 'were', 'referred', 'for', 'physiotherapy assessment / intervention', '.']","['NP', 'VP', 'NP', 'ADJP', 'NP', 'WHNP', 'VP', 'VP', 'PP', 'NP', 'S']","[['DT', 'NN'], ['VBD'], ['CD', 'NNS', '-LRB-', 'VB', 'NN', 'CD', 'NNS', ',', 'CD', '-LRB-', 'CD', 'NN', '-RRB-', 'JJ', 'NNS', ',', 'CD', '-LRB-'], ['CD', 'NN'], ['-RRB-', 'NN', '-RRB-'], ['WP'], ['VBD'], ['VBN'], ['IN'], ['NN', 'NN', 'SYM', 'NN'], ['.']]"
4189,186,['186'],['NP'],[['CD']]
4190,mean age 70 years,['mean age 70 years'],['NP'],"[['NNP', 'NN', 'CD', 'NNS']]"
4191,123,['123'],['NP'],[['CD']]
4192,female,['female'],['NP'],[['NNP']]
4193,130,['130'],['NP'],[['CD']]
4194,trauma,['trauma'],['NP'],[['NN']]
4195,referred for physiotherapy assessment/intervention,"['referred', 'for', 'physiotherapy assessment / intervention']","['VP', 'PP', 'NP']","[['VBN'], ['IN'], ['NN', 'NN', 'SYM', 'NN']]"
4224,Male students ( N=443 ),['Male students ( N=443 )'],['NP'],"[['JJ', 'NNS', '-LRB-', 'NNP', '-RRB-']]"
4227,Male students,['Male students'],['NP'],"[['JJ', 'NNS']]"
4228,N=443,['N=443'],['NP'],[['NNP']]
4253,"ACTIVE W study patients , cases with stroke and cases with bleeding were separately matched with controls .","['ACTIVE W study patients', ',', 'cases', 'with', 'stroke and cases', 'with', 'bleeding', 'were', 'separately', 'matched', 'with', 'controls', '.']","['NP', 'S', 'NP', 'PP', 'NP', 'PP', 'NP', 'VP', 'ADVP', 'VP', 'PP', 'NP', 'S']","[['NNP', 'NNP', 'NN', 'NNS'], [','], ['NNS'], ['IN'], ['NN', 'CC', 'NNS'], ['IN'], ['VBG'], ['VBD'], ['RB'], ['VBN'], ['IN'], ['NNS'], ['.']]"
4254,"ACTIVE W study patients , cases with stroke and cases with bleeding were separately matched with controls .","['ACTIVE W study patients', ',', 'cases', 'with', 'stroke and cases', 'with', 'bleeding', 'were', 'separately', 'matched', 'with', 'controls', '.']","['NP', 'S', 'NP', 'PP', 'NP', 'PP', 'NP', 'VP', 'ADVP', 'VP', 'PP', 'NP', 'S']","[['NNP', 'NNP', 'NN', 'NNS'], [','], ['NNS'], ['IN'], ['NN', 'CC', 'NNS'], ['IN'], ['VBG'], ['VBD'], ['RB'], ['VBN'], ['IN'], ['NNS'], ['.']]"
4256,32 cases with ischemic stroke and 234 cases with bleeding in the analysis were matched,"['32 cases', 'with', 'ischemic stroke and 234 cases', 'with', 'bleeding', 'in', 'the analysis', 'were', 'matched']","['NP', 'PP', 'NP', 'PP', 'NP', 'PP', 'NP', 'VP', 'VP']","[['CD', 'NNS'], ['IN'], ['JJ', 'NN', 'CC', 'CD', 'NNS'], ['IN'], ['VBG'], ['IN'], ['DT', 'NN'], ['VBD'], ['VBN']]"
4257,122 and 865 controls,['122 and 865 controls'],['NP'],"[['CD', 'CC', 'CD', 'NNS']]"
4258,32 cases with ischemic stroke,"['32 cases', 'with', 'ischemic stroke']","['NP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['JJ', 'NN']]"
4259,234 cases with bleeding,"['234 cases', 'with', 'bleeding']","['NP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['NN']]"
4270,lower in individual AF patients,"['lower', 'in', 'individual AF patients']","['ADJP', 'PP', 'NP']","[['JJR'], ['IN'], ['JJ', 'NN', 'NNS']]"
4276,atrial fibrillation patients :,['atrial fibrillation patients :'],['NP'],"[['JJ', 'NN', 'NNS', ':']]"
4278,atrial fibrillation patients :,['atrial fibrillation patients :'],['NP'],"[['JJ', 'NN', 'NNS', ':']]"
4285,3790 heterosexual HIV-1-serodiscordant couples participating in two longitudinal studies of HIV-1 incidence in seven African countries .,"['3790 heterosexual HIV-1-serodiscordant couples', 'participating', 'in', 'two longitudinal studies', 'of', 'HIV-1 incidence', 'in', 'seven African countries .']","['NP', 'VP', 'PP', 'NP', 'PP', 'NP', 'PP', 'NP']","[['CD', 'JJ', 'NN', 'NNS'], ['VBG'], ['IN'], ['CD', 'JJ', 'NNS'], ['IN'], ['NNP', 'NN'], ['IN'], ['CD', 'JJ', 'NNS', '.']]"
4286,3790 heterosexual HIV-1-serodiscordant couples participating in two longitudinal studies of HIV-1 incidence in seven African countries,"['3790 heterosexual HIV-1-serodiscordant couples', 'participating', 'in', 'two longitudinal studies', 'of', 'HIV-1 incidence', 'in', 'seven African countries']","['NP', 'VP', 'PP', 'NP', 'PP', 'NP', 'PP', 'NP']","[['CD', 'JJ', 'NN', 'NNS'], ['VBG'], ['IN'], ['CD', 'JJ', 'NNS'], ['IN'], ['NNP', 'NN'], ['IN'], ['CD', 'JJ', 'NNS']]"
4293,Among 1314 couples in which the HIV-1-seronegative partner was female,"['Among', '1314 couples', 'in', 'which', 'the HIV-1-seronegative partner', 'was', 'female']","['PP', 'NP', 'WHPP', 'WHNP', 'NP', 'VP', 'ADJP']","[['IN'], ['CD', 'NNS'], ['IN'], ['WDT'], ['DT', 'JJ', 'NN'], ['VBD'], ['JJ']]"
4294,p=0·03 ) .,['p=0·03 ) .'],['NP'],"[['NNP', '-RRB-', '.']]"
4297,1314 couples in which the HIV-1-seronegative partner,"['1314 couples', 'in', 'which', 'the HIV-1-seronegative partner']","['NP', 'WHPP', 'WHNP', 'NP']","[['CD', 'NNS'], ['IN'], ['WDT'], ['DT', 'JJ', 'NN']]"
4298,female,['female'],['NP'],[['NNP']]
4300,Among 2476 couples in which the HIV-1-seronegative partner,"['Among', '2476 couples', 'in', 'which', 'the HIV-1-seronegative partner']","['PP', 'NP', 'WHPP', 'WHNP', 'NP']","[['IN'], ['CD', 'NNS'], ['IN'], ['WDT'], ['DT', 'JJ', 'NN']]"
4314,patients with heart failure ( HF ) .,"['patients', 'with', 'heart failure ( HF ) .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NN', 'NN', '-LRB-', 'NNP', '-RRB-', '.']]"
4318,patients with heart failure ( HF ) .,"['patients', 'with', 'heart failure ( HF ) .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NN', 'NN', '-LRB-', 'NNP', '-RRB-', '.']]"
4322,patients with class II to IV HF and ejection fraction < 35 % .,"['patients', 'with', 'class II', 'to', 'IV HF and ejection fraction < 35 % .']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NN', 'NNP'], ['IN'], ['NNP', 'NNP', 'CC', 'NN', 'NNP', 'XX', 'CD', 'NN', '.']]"
4325,patients with class II to IV HF and ejection fraction < 35 % .,"['patients', 'with', 'class II', 'to', 'IV HF and ejection fraction < 35 % .']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NN', 'NNP'], ['IN'], ['NNP', 'NNP', 'CC', 'NN', 'NNP', 'XX', 'CD', 'NN', '.']]"
4332,"Of 330 patients intended for enrollment , 23 were randomized ( MARVEL-1 ) before stopping the study for financial reasons .","['Of', '330 patients', 'intended', 'for', 'enrollment', ',', '23', 'were', 'randomized (', 'MARVEL-1', ')', 'before', 'stopping', 'the study', 'for', 'financial reasons', '.']","['PP', 'NP', 'VP', 'PP', 'NP', 'S', 'NP', 'VP', 'VP', 'NP', 'VP', 'PP', 'VP', 'NP', 'PP', 'NP', 'S']","[['IN'], ['CD', 'NNS'], ['VBN'], ['IN'], ['NN'], [','], ['CD'], ['VBD'], ['VBN', '-LRB-'], ['NNP'], ['-RRB-'], ['IN'], ['VBG'], ['DT', 'NN'], ['IN'], ['JJ', 'NNS'], ['.']]"
4333,330,['330'],['NP'],[['CD']]
4334,23,['23'],['NP'],[['CD']]
4348,In HF patients with chronic postinfarction cardiomyopathy,"['In', 'HF patients', 'with', 'chronic postinfarction cardiomyopathy']","['PP', 'NP', 'PP', 'NP']","[['IN'], ['NNP', 'NNS'], ['IN'], ['JJ', 'NNP', 'NNP']]"
4352,in HF patients with postinfarction cardiomyopathy,"['in', 'HF patients', 'with', 'postinfarction cardiomyopathy']","['PP', 'NP', 'PP', 'NP']","[['IN'], ['NNP', 'NNS'], ['IN'], ['NNP', 'NNP']]"
4354,patients with chronic heart failure after myocardial infarction .,"['patients', 'with', 'chronic heart failure', 'after', 'myocardial infarction .']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'NN', 'NN'], ['IN'], ['JJ', 'NN', '.']]"
4358,patients with chronic heart failure after myocardial infarction .,"['patients', 'with', 'chronic heart failure', 'after', 'myocardial infarction .']","['NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'NN', 'NN'], ['IN'], ['JJ', 'NN', '.']]"
4366,with 210 subjects ≥60 years,"['with', '210 subjects ≥60 years']","['PP', 'NP']","[['IN'], ['CD', 'NNS', 'NNP', 'NNS']]"
4371,210,['210'],['NP'],[['CD']]
4372,≥60 years,['≥60 years'],['NP'],"[['NNP', 'NNS']]"
4397,immunogenic in adults ≥60,"['immunogenic', 'in', 'adults ≥60']","['ADJP', 'PP', 'NP']","[['JJ'], ['IN'], ['NNS', 'NNP']]"
4402,healthy adults ≥60 years of age,"['healthy adults ≥60 years', 'of', 'age']","['NP', 'PP', 'NP']","[['JJ', 'NNS', 'NNP', 'NNS'], ['IN'], ['NN']]"
4405,healthy adults ≥60 years of age,"['healthy adults ≥60 years', 'of', 'age']","['NP', 'PP', 'NP']","[['JJ', 'NNS', 'NNP', 'NNS'], ['IN'], ['NN']]"
4410,60 elderly patients .,['60 elderly patients .'],['NP'],"[['CD', 'JJ', 'NNS', '.']]"
4412,60 elderly patients,['60 elderly patients'],['NP'],"[['CD', 'JJ', 'NNS']]"
4427,elderly patients .,['elderly patients .'],['NP'],"[['JJ', 'NNS', '.']]"
4429,elderly patients .,['elderly patients .'],['NP'],"[['JJ', 'NNS', '.']]"
4433,adult acute nonlymphocytic leukemia ( ANLL ),['adult acute nonlymphocytic leukemia ( ANLL )'],['NP'],"[['NNP', 'JJ', 'JJ', 'NN', '-LRB-', 'NNP', '-RRB-']]"
4435,adult acute nonlymphocytic leukemia ( ANLL ),['adult acute nonlymphocytic leukemia ( ANLL )'],['NP'],"[['NNP', 'JJ', 'JJ', 'NN', '-LRB-', 'NNP', '-RRB-']]"
4439,"The 101 eligible cases ( bestatin : 48 , control : 53 )","['The 101 eligible cases ( bestatin : 48 , control : 53 )']",['NP'],"[['DT', 'CD', 'JJ', 'NNS', '-LRB-', 'NNP', ':', 'CD', ',', 'NN', ':', 'LS', '-RRB-']]"
4444,101,['101'],['NP'],[['CD']]
4445,48,['48'],['NP'],[['CD']]
4446,53,['53'],['NP'],[['CD']]
4462,acute nonlymphocytic leukemia in adults .,"['acute nonlymphocytic leukemia', 'in', 'adults .']","['NP', 'PP', 'NP']","[['JJ', 'JJ', 'NN'], ['IN'], ['NNS', '.']]"
4464,acute nonlymphocytic leukemia,['acute nonlymphocytic leukemia'],['NP'],"[['JJ', 'JJ', 'NNP']]"
4465,adults,['adults'],['NP'],[['NNS']]
4480,autism .,['autism .'],['NP'],"[['NN', '.']]"
4483,autism .,['autism .'],['NP'],"[['NN', '.']]"
4486,infants undergoing the Norwood procedure,"['infants', 'undergoing', 'the Norwood procedure']","['NP', 'VP', 'NP']","[['NNS'], ['VBG'], ['DT', 'NNP', 'NN']]"
4489,infants undergoing the Norwood procedure,"['infants', 'undergoing', 'the Norwood procedure']","['NP', 'VP', 'NP']","[['NNS'], ['VBG'], ['DT', 'NNP', 'NN']]"
4494,"549 subjects ( follow-up , 2.7 ± 0.9 years )","['549 subjects ( follow -', 'up', ',', '2.7 ±', '0.9 years )']","['NP', 'ADJP', 'NP', 'QP', 'NP']","[['CD', 'NNS', '-LRB-', 'NN', 'HYPH'], ['NN'], [','], ['CD', 'CD'], ['CD', 'NNS', '-RRB-']]"
4496,549,['549'],['NP'],[['CD']]
4516,infants with single-ventricle lesions :,"['infants', 'with', 'single - ventricle lesions :']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'HYPH', 'NN', 'NNS', ':']]"
4520,infants,['infants'],['NP'],[['NNS']]
4521,single-ventricle lesions,['single - ventricle lesions'],['NP'],"[['JJ', 'HYPH', 'NN', 'NNS']]"
4524,children,['children'],['NP'],[['NNS']]
4528,twenty-two 3- to 4-year-olds,['twenty - two 3- to 4-year - olds'],['NP'],"[['CD', 'HYPH', 'CD', 'NNP', 'IN', 'CD', 'HYPH', 'NNS']]"
4530,twenty-two 3- to 4-year-olds,['twenty - two 3- to 4-year - olds'],['NP'],"[['CD', 'HYPH', 'CD', 'NNP', 'IN', 'CD', 'HYPH', 'NNS']]"
4535,thirty-two 4- to 5-year-olds,['thirty - two 4- to 5-year - olds'],['NP'],"[['CD', 'HYPH', 'CD', 'CD', 'TO', 'CD', 'HYPH', 'NNS']]"
4537,thirty-two 4- to 5-year-olds,['thirty - two 4- to 5-year - olds'],['NP'],"[['CD', 'HYPH', 'CD', 'CD', 'TO', 'CD', 'HYPH', 'NNS']]"
4540,Preschoolers,['Preschoolers'],['NP'],[['NNS']]
4543,Preschoolers,['Preschoolers'],['NP'],[['NNS']]
4545,individuals formally diagnosed with autism spectrum disorder ( ASD ) .,"['individuals', 'formally', 'diagnosed with', 'autism spectrum disorder ( ASD ) .']","['NP', 'ADVP', 'VP', 'NP']","[['NNS'], ['RB'], ['VBN', 'IN'], ['NN', 'NNP', 'NN', '-LRB-', 'NNP', '-RRB-', '.']]"
4547,individuals formally diagnosed with autism spectrum disorder ( ASD ) .,"['individuals', 'formally', 'diagnosed with', 'autism spectrum disorder ( ASD ) .']","['NP', 'ADVP', 'VP', 'NP']","[['NNS'], ['RB'], ['VBN', 'IN'], ['NN', 'NNP', 'NN', '-LRB-', 'NNP', '-RRB-', '.']]"
4549,20 children with ASD ( M age = 14.3 yr.,"['20 children', 'with', 'ASD', '(', 'M age = 14.3 yr .']","['NP', 'PP', 'NP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['NNP'], ['-LRB-'], ['NNP', 'NN', 'SYM', 'CD', 'NN', '.']]"
4550,"SD = 4.2 ; 6 girls , 14 boys ) in the role of speakers and 20 control children , who acted as listeners .","['SD', '=', '4.2', ';', '6 girls', ',', '14 boys', ')', 'in', 'the role', 'of', 'speakers and 20 control children ,', 'who', 'acted', 'as', 'listeners', '.']","['NP', 'FRAG', 'NP', 'FRAG', 'NP', 'FRAG', 'NP', 'FRAG', 'PP', 'NP', 'PP', 'NP', 'WHNP', 'VP', 'PP', 'NP', 'FRAG']","[['NNP'], ['SYM'], ['CD'], ['SYM'], ['CD', 'NNS'], [','], ['CD', 'NNS'], ['-RRB-'], ['IN'], ['DT', 'NN'], ['IN'], ['NNS', 'CC', 'CD', 'NN', 'NNS', ','], ['WP'], ['VBD'], ['IN'], ['NNS'], ['.']]"
4551,20 children,['20 children'],['NP'],"[['CD', 'NNS']]"
4552,ASD,['ASD'],['NP'],[['NNP']]
4553,M age = 14.3 yr.,['M age = 14.3 yr .'],['NP'],"[['NNP', 'NN', 'SYM', 'CD', 'NN', '.']]"
4554,SD = 4.2,['SD = 4.2'],['NP'],"[['NNP', 'SYM', 'CD']]"
4555,6,['6'],['NP'],[['LS']]
4556,14,['14'],['NP'],[['CD']]
4557,20,['20'],['NP'],[['CD']]
4558,children,['children'],['NP'],[['NNS']]
4560,"Inclusion/exclusion criteria were defined according to the clinical diagnosis of ASD , the presence or absence of additional or associated disability , previous training in referential communication , and any drug treatment .","['Inclusion / exclusion criteria', 'were', 'defined', 'according', 'to', 'the clinical diagnosis', 'of', 'ASD , the presence or absence', 'of', 'additional or associated', 'disability , previous training', 'in', 'referential communication , and any drug treatment', '.']","['NP', 'VP', 'VP', 'PP', 'PP', 'NP', 'PP', 'NP', 'PP', 'ADJP', 'NP', 'PP', 'NP', 'S']","[['NN', 'SYM', 'NN', 'NNS'], ['VBD'], ['VBN'], ['VBG'], ['IN'], ['DT', 'JJ', 'NN'], ['IN'], ['NNP', ',', 'DT', 'NN', 'CC', 'NN'], ['IN'], ['JJ', 'CC', 'JJ'], ['NN', ',', 'JJ', 'NN'], ['IN'], ['JJ', 'NN', ',', 'CC', 'DT', 'NN', 'NN'], ['.']]"
4578,individuals with ASD,"['individuals', 'with', 'ASD']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP']]"
4580,individuals with ASD,"['individuals', 'with', 'ASD']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NNP']]"
4582,individuals with autism spectrum disorder :,"['individuals', 'with', 'autism spectrum disorder :']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NN', 'NNP', 'NN', ':']]"
4584,individuals with autism spectrum disorder :,"['individuals', 'with', 'autism spectrum disorder :']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['NN', 'NNP', 'NN', ':']]"
4594,Fifty children with high-functioning ASD and anxiety,"['Fifty children', 'with', 'high - functioning ASD and anxiety']","['NP', 'PP', 'NP']","[['CD', 'NNS'], ['IN'], ['RB', 'HYPH', 'VBG', 'NN', 'CC', 'NN']]"
4597,Fifty children,['Fifty children'],['NP'],"[['CD', 'NNS']]"
4598,high-functioning ASD and anxiety,"['high', '-', 'functioning ASD and anxiety']","['ADVP', 'FRAG', 'NP']","[['RB'], ['HYPH'], ['VBG', 'NN', 'CC', 'NN']]"
4602,RESULTS Forty-seven children completed either the CBT or TAU condition,"['RESULTS Forty -', 'seven children', 'completed', 'either the CBT or TAU condition']","['S', 'NP', 'VP', 'NP']","[['NNP', 'CD', 'HYPH'], ['CD', 'NNS'], ['VBN'], ['CC', 'DT', 'NNP', 'CC', 'NNP', 'NN']]"
4604,Forty-seven children,['Forty - seven children'],['NP'],"[['CD', 'HYPH', 'CD', 'NNS']]"
4614,for children with ASD,"['for', 'children', 'with', 'ASD']","['PP', 'NP', 'PP', 'NP']","[['IN'], ['NNS'], ['IN'], ['NNP']]"
4618,children with high-functioning autism spectrum disorders and anxiety :,"['children', 'with', 'high - functioning autism spectrum disorders and anxiety :']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['RB', 'HYPH', 'VBG', 'NN', 'NN', 'NNS', 'CC', 'NN', ':']]"
4620,children,['children'],['NP'],[['NNS']]
4621,high-functioning autism spectrum disorders and anxiety,"['high', '-', 'functioning autism spectrum disorders and anxiety']","['ADVP', 'FRAG', 'NP']","[['RB'], ['HYPH'], ['VBG', 'NN', 'NN', 'NNS', 'CC', 'NN']]"
4623,patients with spotty calcification .,"['patients', 'with', 'spotty calcification .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'NN', '.']]"
4625,patients with spotty calcification .,"['patients', 'with', 'spotty calcification .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'NN', '.']]"
4631,"A total of 1,347 stable patients with angiographic coronary artery disease","['A total', 'of', '1,347 stable patients', 'with', 'angiographic coronary artery disease']","['NP', 'PP', 'NP', 'PP', 'NP']","[['DT', 'NN'], ['IN'], ['CD', 'JJ', 'NNS'], ['IN'], ['JJ', 'JJ', 'NN', 'NN']]"
4634,"1,347 stable patients with angiographic coronary artery disease","['1,347 stable patients', 'with', 'angiographic coronary artery disease']","['NP', 'PP', 'NP']","[['CD', 'JJ', 'NNS'], ['IN'], ['JJ', 'JJ', 'NN', 'NN']]"
4637,Patients with spotty calcification were identified based on the presence of lesions ( 1 to 4 mm in length ) containing an arc of calcification of < 90°,"['Patients', 'with', 'spotty calcification', 'were', 'identified', 'based on', 'the presence', 'of', 'lesions (', '1 to 4', 'mm', 'in', 'length ) containing an arc', 'of', 'calcification', 'of', '< 90 °']","['NP', 'PP', 'NP', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'QP', 'QP', 'PP', 'NP', 'PP', 'NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'NN'], ['VBD'], ['VBN'], ['VBN', 'IN'], ['DT', 'NN'], ['IN'], ['NNS', '-LRB-'], ['CD', 'TO', 'CD'], ['NNS'], ['IN'], ['NN', '-RRB-', 'VBG', 'DT', 'NN'], ['IN'], ['NN'], ['IN'], ['XX', 'CD', 'NNS']]"
4640,"RESULTS Patients with spotty calcification were older ( age 56 years vs. 54 years ; p = 0.001 ) , more likely to be male ( 68 % vs. 54 % ;","['RESULTS Patients', 'with', 'spotty calcification', 'were', 'older', '(', 'age 56 years vs. 54 years', ';', 'p = 0.001 )', ',', 'more likely', 'to', 'be', 'male', '(', '68 %', 'vs.', '54 % ;']","['NP', 'PP', 'NP', 'VP', 'ADJP', 'VP', 'NP', 'VP', 'NP', 'VP', 'ADJP', 'VP', 'VP', 'ADJP', 'ADJP', 'NP', 'PP', 'NP']","[['NNP', 'NNS'], ['IN'], ['JJ', 'NN'], ['VBD'], ['JJR'], ['-LRB-'], ['NN', 'CD', 'NNS', 'CC', 'CD', 'NNS'], [':'], ['NN', 'SYM', 'CD', '-RRB-'], [','], ['RBR', 'JJ'], ['TO'], ['VB'], ['JJ'], ['-LRB-'], ['CD', 'NN'], ['IN'], ['CD', 'NN', ':']]"
4641,0.001 ),['0.001 )'],['NP'],"[['LS', '-RRB-']]"
4647,attenuated in patients with spotty calcification,"['attenuated', 'in', 'patients', 'with', 'spotty calcification']","['VP', 'PP', 'NP', 'PP', 'NP']","[['VBN'], ['IN'], ['NNS'], ['IN'], ['JJ', 'NN']]"
4657,Fifty-six outpatients,['Fifty - six outpatients'],['NP'],"[['CD', 'HYPH', 'CD', 'NNS']]"
4658,Fifty-six outpatients,['Fifty - six outpatients'],['NP'],"[['CD', 'HYPH', 'CD', 'NNS']]"
4672,Thirty-nine subjects completed the study,"['Thirty - nine subjects', 'completed', 'the study']","['NP', 'VP', 'NP']","[['CD', 'HYPH', 'CD', 'NNS'], ['VBD'], ['DT', 'NN']]"
4673,Thirty-nine subjects completed the study,"['Thirty - nine subjects', 'completed', 'the study']","['NP', 'VP', 'NP']","[['CD', 'HYPH', 'CD', 'NNS'], ['VBD'], ['DT', 'NN']]"
4681,patients with inflammatory bowel disease .,"['patients', 'with', 'inflammatory bowel disease .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'NN', 'NN', '.']]"
4685,patients with inflammatory bowel disease .,"['patients', 'with', 'inflammatory bowel disease .']","['NP', 'PP', 'NP']","[['NNS'], ['IN'], ['JJ', 'NN', 'NN', '.']]"
4689,"preschool children with intellectual disabilities ( IDs ) , including children with Down syndrome and children with autism spectrum disorders .","['preschool children with intellectual disabilities ( IDs ) ,', 'including', 'children', 'with', 'Down syndrome and children', 'with', 'autism spectrum disorders .']","['NP', 'PP', 'NP', 'PP', 'NP', 'PP', 'NP']","[['JJ', 'NNS', 'IN', 'JJ', 'NNS', '-LRB-', 'NNP', '-RRB-', ','], ['VBG'], ['NNS'], ['IN'], ['NNP', 'NN', 'CC', 'NNS'], ['IN'], ['NN', 'NN', 'NNS', '.']]"
