,split_0,split_1,split_2,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index,split_anchor_type,ID,Type,Index,ann_section,ann_source,order_cluster
5140,METHOD A total of,45 children ( 7-11 years of age ),with high-functioning ASD and clinically significant anxiety were randomized to receive 16 sessions of weekly CBT or TAU for an equivalent duration .,"['METHOD', 'A', 'total', 'of', '45', 'children', '(', '7-11', 'years', 'of', 'age', ')', 'with', 'high-functioning', 'ASD', 'and', 'clinically', 'significant', 'anxiety', 'were', 'randomized', 'to', 'receive', '16', 'sessions', 'of', 'weekly', 'CBT', 'or', 'TAU', 'for', 'an', 'equivalent', 'duration', '.']","(4, 12)","(17, 50)",-1,hl_p,23357440,Abstract,1,test,gold,2045.0
5141,METHOD A total of 45 children ( 7-11 years of age ) with,high-functioning ASD and clinically significant anxiety,were randomized to receive 16 sessions of weekly CBT or TAU for an equivalent duration .,"['METHOD', 'A', 'total', 'of', '45', 'children', '(', '7-11', 'years', 'of', 'age', ')', 'with', 'high-functioning', 'ASD', 'and', 'clinically', 'significant', 'anxiety', 'were', 'randomized', 'to', 'receive', '16', 'sessions', 'of', 'weekly', 'CBT', 'or', 'TAU', 'for', 'an', 'equivalent', 'duration', '.']","(13, 19)","(56, 111)",-1,hl_p,23357440,Abstract,1,test,gold,6098.0
5142,METHOD A total of 45 children ( 7-11 years of age ) with high-functioning ASD and clinically significant anxiety were randomized to receive 16 sessions of weekly,CBT,or TAU for an equivalent duration .,"['METHOD', 'A', 'total', 'of', '45', 'children', '(', '7-11', 'years', 'of', 'age', ')', 'with', 'high-functioning', 'ASD', 'and', 'clinically', 'significant', 'anxiety', 'were', 'randomized', 'to', 'receive', '16', 'sessions', 'of', 'weekly', 'CBT', 'or', 'TAU', 'for', 'an', 'equivalent', 'duration', '.']","(27, 28)","(161, 164)",-1,hl_i,23357440,Abstract,1,test,gold,338.0
5143,METHOD A total of 45 children ( 7-11 years of age ) with high-functioning ASD and clinically significant anxiety were randomized to receive 16 sessions of weekly CBT or,TAU,for an equivalent duration .,"['METHOD', 'A', 'total', 'of', '45', 'children', '(', '7-11', 'years', 'of', 'age', ')', 'with', 'high-functioning', 'ASD', 'and', 'clinically', 'significant', 'anxiety', 'were', 'randomized', 'to', 'receive', '16', 'sessions', 'of', 'weekly', 'CBT', 'or', 'TAU', 'for', 'an', 'equivalent', 'duration', '.']","(29, 30)","(168, 171)",-1,hl_i,23357440,Abstract,1,test,gold,539.0
5144,"After screening , assessments were conducted at baseline , post-treatment , and 3-month follow-up .",,,"['After', 'screening', ',', 'assessments', 'were', 'conducted', 'at', 'baseline', ',', 'post-treatment', ',', 'and', '3-month', 'follow-up', '.']",,,,,23357440,Abstract,2,test,gold,
5145,Raters were blind to treatment condition .,,,"['Raters', 'were', 'blind', 'to', 'treatment', 'condition', '.']",,,,,23357440,Abstract,3,test,gold,
5146,RESULTS Youth receiving,CBT,showed substantial improvement relative to TAU on primary anxiety outcomes .,"['RESULTS', 'Youth', 'receiving', 'CBT', 'showed', 'substantial', 'improvement', 'relative', 'to', 'TAU', 'on', 'primary', 'anxiety', 'outcomes', '.']","(3, 4)","(23, 26)",-1,ss_i,23357440,Abstract,4,test,gold,337.0
5147,RESULTS Youth receiving CBT showed substantial improvement relative to,TAU,on primary anxiety outcomes .,"['RESULTS', 'Youth', 'receiving', 'CBT', 'showed', 'substantial', 'improvement', 'relative', 'to', 'TAU', 'on', 'primary', 'anxiety', 'outcomes', '.']","(9, 10)","(70, 73)",-1,ss_i,23357440,Abstract,4,test,gold,538.0
5148,RESULTS Youth receiving CBT showed substantial improvement relative to TAU on,primary anxiety outcomes .,,"['RESULTS', 'Youth', 'receiving', 'CBT', 'showed', 'substantial', 'improvement', 'relative', 'to', 'TAU', 'on', 'primary', 'anxiety', 'outcomes', '.']","(11, 15)","(77, 103)",-1,ss_o,23357440,Abstract,4,test,gold,2455.0
5149,RESULTS Youth receiving,CBT,showed substantial improvement relative to TAU on primary anxiety outcomes .,"['RESULTS', 'Youth', 'receiving', 'CBT', 'showed', 'substantial', 'improvement', 'relative', 'to', 'TAU', 'on', 'primary', 'anxiety', 'outcomes', '.']","(3, 4)","(23, 26)",-1,hl_i,23357440,Abstract,4,test,gold,336.0
5150,RESULTS Youth receiving CBT showed substantial improvement relative to,TAU,on primary anxiety outcomes .,"['RESULTS', 'Youth', 'receiving', 'CBT', 'showed', 'substantial', 'improvement', 'relative', 'to', 'TAU', 'on', 'primary', 'anxiety', 'outcomes', '.']","(9, 10)","(70, 73)",-1,hl_i,23357440,Abstract,4,test,gold,537.0
5151,RESULTS Youth receiving CBT showed substantial improvement relative to TAU on,primary anxiety outcomes .,,"['RESULTS', 'Youth', 'receiving', 'CBT', 'showed', 'substantial', 'improvement', 'relative', 'to', 'TAU', 'on', 'primary', 'anxiety', 'outcomes', '.']","(11, 15)","(77, 103)",-1,hl_o,23357440,Abstract,4,test,gold,2456.0
5152,Of 24 children randomized to the,CBT,"arm , 18 ( 75 % ) were treatment responders , versus only 3 of 21 children ( 14 % ) in the TAU arm .","['Of', '24', 'children', 'randomized', 'to', 'the', 'CBT', 'arm', ',', '18', '(', '75', '%', ')', 'were', 'treatment', 'responders', ',', 'versus', 'only', '3', 'of', '21', 'children', '(', '14', '%', ')', 'in', 'the', 'TAU', 'arm', '.']","(6, 7)","(32, 35)",-1,ss_i,23357440,Abstract,5,test,gold,335.0
5153,"Of 24 children randomized to the CBT arm , 18 ( 75 % ) were treatment responders , versus only 3 of 21 children ( 14 % ) in the",TAU,arm .,"['Of', '24', 'children', 'randomized', 'to', 'the', 'CBT', 'arm', ',', '18', '(', '75', '%', ')', 'were', 'treatment', 'responders', ',', 'versus', 'only', '3', 'of', '21', 'children', '(', '14', '%', ')', 'in', 'the', 'TAU', 'arm', '.']","(30, 31)","(127, 130)",-1,ss_i,23357440,Abstract,5,test,gold,536.0
5154,"Of 24 children randomized to the CBT arm , 18 ( 75 % ) were",treatment responders,", versus only 3 of 21 children ( 14 % ) in the TAU arm .","['Of', '24', 'children', 'randomized', 'to', 'the', 'CBT', 'arm', ',', '18', '(', '75', '%', ')', 'were', 'treatment', 'responders', ',', 'versus', 'only', '3', 'of', '21', 'children', '(', '14', '%', ')', 'in', 'the', 'TAU', 'arm', '.']","(15, 17)","(59, 79)",-1,ss_o,23357440,Abstract,5,test,gold,3960.0
5155,Of 24 children randomized to the,CBT,"arm , 18 ( 75 % ) were treatment responders , versus only 3 of 21 children ( 14 % ) in the TAU arm .","['Of', '24', 'children', 'randomized', 'to', 'the', 'CBT', 'arm', ',', '18', '(', '75', '%', ')', 'were', 'treatment', 'responders', ',', 'versus', 'only', '3', 'of', '21', 'children', '(', '14', '%', ')', 'in', 'the', 'TAU', 'arm', '.']","(6, 7)","(32, 35)",-1,hl_i,23357440,Abstract,5,test,gold,334.0
5156,"Of 24 children randomized to the CBT arm , 18 ( 75 % ) were treatment responders , versus only 3 of 21 children ( 14 % ) in the",TAU,arm .,"['Of', '24', 'children', 'randomized', 'to', 'the', 'CBT', 'arm', ',', '18', '(', '75', '%', ')', 'were', 'treatment', 'responders', ',', 'versus', 'only', '3', 'of', '21', 'children', '(', '14', '%', ')', 'in', 'the', 'TAU', 'arm', '.']","(30, 31)","(127, 130)",-1,hl_i,23357440,Abstract,5,test,gold,535.0
5157,Gains were generally maintained at 3-month follow-up for,CBT,responders .,"['Gains', 'were', 'generally', 'maintained', 'at', '3-month', 'follow-up', 'for', 'CBT', 'responders', '.']","(8, 9)","(56, 59)",-1,ss_i,23357440,Abstract,6,test,gold,333.0
5158,Gains were generally maintained at 3-month follow-up for,CBT,responders .,"['Gains', 'were', 'generally', 'maintained', 'at', '3-month', 'follow-up', 'for', 'CBT', 'responders', '.']","(8, 9)","(56, 59)",-1,hl_i,23357440,Abstract,6,test,gold,332.0
5159,"CONCLUSIONS Relative to usual care ,",CBT,adapted for anxious youth with high-functioning ASD demonstrates large effects in reducing anxiety symptoms .,"['CONCLUSIONS', 'Relative', 'to', 'usual', 'care', ',', 'CBT', 'adapted', 'for', 'anxious', 'youth', 'with', 'high-functioning', 'ASD', 'demonstrates', 'large', 'effects', 'in', 'reducing', 'anxiety', 'symptoms', '.']","(6, 7)","(36, 39)",-1,ss_i,23357440,Abstract,7,test,gold,331.0
5160,"CONCLUSIONS Relative to usual care , CBT adapted for anxious youth with high-functioning ASD demonstrates large effects in reducing",anxiety symptoms .,,"['CONCLUSIONS', 'Relative', 'to', 'usual', 'care', ',', 'CBT', 'adapted', 'for', 'anxious', 'youth', 'with', 'high-functioning', 'ASD', 'demonstrates', 'large', 'effects', 'in', 'reducing', 'anxiety', 'symptoms', '.']","(19, 22)","(131, 149)",-1,ss_o,23357440,Abstract,7,test,gold,3259.0
5161,"CONCLUSIONS Relative to usual care ,",CBT,adapted for anxious youth with high-functioning ASD demonstrates large effects in reducing anxiety symptoms .,"['CONCLUSIONS', 'Relative', 'to', 'usual', 'care', ',', 'CBT', 'adapted', 'for', 'anxious', 'youth', 'with', 'high-functioning', 'ASD', 'demonstrates', 'large', 'effects', 'in', 'reducing', 'anxiety', 'symptoms', '.']","(6, 7)","(36, 39)",-1,hl_i,23357440,Abstract,7,test,gold,330.0
5162,"CONCLUSIONS Relative to usual care , CBT adapted for anxious youth with high-functioning ASD demonstrates large effects in reducing",anxiety symptoms .,,"['CONCLUSIONS', 'Relative', 'to', 'usual', 'care', ',', 'CBT', 'adapted', 'for', 'anxious', 'youth', 'with', 'high-functioning', 'ASD', 'demonstrates', 'large', 'effects', 'in', 'reducing', 'anxiety', 'symptoms', '.']","(19, 22)","(131, 149)",-1,hl_o,23357440,Abstract,7,test,gold,3258.0
5163,This study contributes to the growing literature supporting adapted CBT approaches for treating anxiety in,youth with ASD .,,"['This', 'study', 'contributes', 'to', 'the', 'growing', 'literature', 'supporting', 'adapted', 'CBT', 'approaches', 'for', 'treating', 'anxiety', 'in', 'youth', 'with', 'ASD', '.']","(15, 19)","(106, 122)",-1,ss_p,23357440,Abstract,8,test,gold,6096.0
5164,This study contributes to the growing literature supporting adapted,CBT,approaches for treating anxiety in youth with ASD .,"['This', 'study', 'contributes', 'to', 'the', 'growing', 'literature', 'supporting', 'adapted', 'CBT', 'approaches', 'for', 'treating', 'anxiety', 'in', 'youth', 'with', 'ASD', '.']","(9, 10)","(67, 70)",-1,ss_i,23357440,Abstract,8,test,gold,329.0
5165,This study contributes to the growing literature supporting adapted,CBT,approaches for treating anxiety in youth with ASD .,"['This', 'study', 'contributes', 'to', 'the', 'growing', 'literature', 'supporting', 'adapted', 'CBT', 'approaches', 'for', 'treating', 'anxiety', 'in', 'youth', 'with', 'ASD', '.']","(9, 10)","(67, 70)",-1,hl_i,23357440,Abstract,8,test,gold,328.0
5166,Plasma AGE-peptides and C-peptide in,early-stage diabetic nephropathy patients,on thiamine and pyridoxine therapy .,"['Plasma', 'AGE-peptides', 'and', 'C-peptide', 'in', 'early-stage', 'diabetic', 'nephropathy', 'patients', 'on', 'thiamine', 'and', 'pyridoxine', 'therapy', '.']","(5, 9)","(36, 77)",-1,ss_p,23392542,Title,0,test,gold,6928.0
5167,Plasma AGE-peptides and C-peptide in early-stage diabetic nephropathy patients on,thiamine,and pyridoxine therapy .,"['Plasma', 'AGE-peptides', 'and', 'C-peptide', 'in', 'early-stage', 'diabetic', 'nephropathy', 'patients', 'on', 'thiamine', 'and', 'pyridoxine', 'therapy', '.']","(10, 11)","(81, 89)",-1,ss_i,23392542,Title,0,test,gold,5507.0
5168,Plasma AGE-peptides and C-peptide in early-stage diabetic nephropathy patients on thiamine and,pyridoxine,therapy .,"['Plasma', 'AGE-peptides', 'and', 'C-peptide', 'in', 'early-stage', 'diabetic', 'nephropathy', 'patients', 'on', 'thiamine', 'and', 'pyridoxine', 'therapy', '.']","(12, 13)","(94, 104)",-1,ss_i,23392542,Title,0,test,gold,135.0
5169,,Plasma AGE-peptides and C-peptide,in early-stage diabetic nephropathy patients on thiamine and pyridoxine therapy .,"['Plasma', 'AGE-peptides', 'and', 'C-peptide', 'in', 'early-stage', 'diabetic', 'nephropathy', 'patients', 'on', 'thiamine', 'and', 'pyridoxine', 'therapy', '.']","(0, 4)","(0, 33)",-1,ss_o,23392542,Title,0,test,gold,4453.0
5170,Plasma AGE-peptides and C-peptide in,early-stage diabetic nephropathy patients,on thiamine and pyridoxine therapy .,"['Plasma', 'AGE-peptides', 'and', 'C-peptide', 'in', 'early-stage', 'diabetic', 'nephropathy', 'patients', 'on', 'thiamine', 'and', 'pyridoxine', 'therapy', '.']","(5, 9)","(36, 77)",-1,hl_p,23392542,Title,0,test,gold,6929.0
5171,,Plasma AGE-peptides and C-peptide,in early-stage diabetic nephropathy patients on thiamine and pyridoxine therapy .,"['Plasma', 'AGE-peptides', 'and', 'C-peptide', 'in', 'early-stage', 'diabetic', 'nephropathy', 'patients', 'on', 'thiamine', 'and', 'pyridoxine', 'therapy', '.']","(0, 4)","(0, 33)",-1,hl_o,23392542,Title,0,test,gold,4454.0
5172,AIM The aim of the study was to evaluate circulatory AGE-peptide levels in,diabetic nephropathy,and to observe the effects of thiamine ( vitamin B1 ) and pyridoxine ( vitamin B6 ) therapy .,"['AIM', 'The', 'aim', 'of', 'the', 'study', 'was', 'to', 'evaluate', 'circulatory', 'AGE-peptide', 'levels', 'in', 'diabetic', 'nephropathy', 'and', 'to', 'observe', 'the', 'effects', 'of', 'thiamine', '(', 'vitamin', 'B1', ')', 'and', 'pyridoxine', '(', 'vitamin', 'B6', ')', 'therapy', '.']","(13, 15)","(74, 94)",-1,ss_p,23392542,Abstract,0,test,gold,6927.0
5173,AIM The aim of the study was to evaluate circulatory AGE-peptide levels in diabetic nephropathy and to observe the effects of,thiamine ( vitamin B1 ),and pyridoxine ( vitamin B6 ) therapy .,"['AIM', 'The', 'aim', 'of', 'the', 'study', 'was', 'to', 'evaluate', 'circulatory', 'AGE-peptide', 'levels', 'in', 'diabetic', 'nephropathy', 'and', 'to', 'observe', 'the', 'effects', 'of', 'thiamine', '(', 'vitamin', 'B1', ')', 'and', 'pyridoxine', '(', 'vitamin', 'B6', ')', 'therapy', '.']","(21, 26)","(125, 148)",-1,ss_i,23392542,Abstract,0,test,gold,4621.0
5174,AIM The aim of the study was to evaluate circulatory AGE-peptide levels in diabetic nephropathy and to observe the effects of thiamine ( vitamin B1 ) and,pyridoxine ( vitamin B6 ),therapy .,"['AIM', 'The', 'aim', 'of', 'the', 'study', 'was', 'to', 'evaluate', 'circulatory', 'AGE-peptide', 'levels', 'in', 'diabetic', 'nephropathy', 'and', 'to', 'observe', 'the', 'effects', 'of', 'thiamine', '(', 'vitamin', 'B1', ')', 'and', 'pyridoxine', '(', 'vitamin', 'B6', ')', 'therapy', '.']","(27, 32)","(153, 178)",-1,ss_i,23392542,Abstract,0,test,gold,4619.0
5175,AIM The aim of the study was to evaluate,circulatory AGE-peptide levels,in diabetic nephropathy and to observe the effects of thiamine ( vitamin B1 ) and pyridoxine ( vitamin B6 ) therapy .,"['AIM', 'The', 'aim', 'of', 'the', 'study', 'was', 'to', 'evaluate', 'circulatory', 'AGE-peptide', 'levels', 'in', 'diabetic', 'nephropathy', 'and', 'to', 'observe', 'the', 'effects', 'of', 'thiamine', '(', 'vitamin', 'B1', ')', 'and', 'pyridoxine', '(', 'vitamin', 'B6', ')', 'therapy', '.']","(9, 12)","(40, 70)",-1,ss_o,23392542,Abstract,0,test,gold,3217.0
5176,AIM The aim of the study was to evaluate circulatory AGE-peptide levels in diabetic nephropathy and to observe the effects of,thiamine ( vitamin B1 ),and pyridoxine ( vitamin B6 ) therapy .,"['AIM', 'The', 'aim', 'of', 'the', 'study', 'was', 'to', 'evaluate', 'circulatory', 'AGE-peptide', 'levels', 'in', 'diabetic', 'nephropathy', 'and', 'to', 'observe', 'the', 'effects', 'of', 'thiamine', '(', 'vitamin', 'B1', ')', 'and', 'pyridoxine', '(', 'vitamin', 'B6', ')', 'therapy', '.']","(21, 26)","(125, 148)",-1,hl_i,23392542,Abstract,0,test,gold,4622.0
5177,AIM The aim of the study was to evaluate circulatory AGE-peptide levels in diabetic nephropathy and to observe the effects of thiamine ( vitamin B1 ) and,pyridoxine ( vitamin B6 ),therapy .,"['AIM', 'The', 'aim', 'of', 'the', 'study', 'was', 'to', 'evaluate', 'circulatory', 'AGE-peptide', 'levels', 'in', 'diabetic', 'nephropathy', 'and', 'to', 'observe', 'the', 'effects', 'of', 'thiamine', '(', 'vitamin', 'B1', ')', 'and', 'pyridoxine', '(', 'vitamin', 'B6', ')', 'therapy', '.']","(27, 32)","(153, 178)",-1,hl_i,23392542,Abstract,0,test,gold,4620.0
5178,AIM The aim of the study was to evaluate,circulatory AGE-peptide levels,in diabetic nephropathy and to observe the effects of thiamine ( vitamin B1 ) and pyridoxine ( vitamin B6 ) therapy .,"['AIM', 'The', 'aim', 'of', 'the', 'study', 'was', 'to', 'evaluate', 'circulatory', 'AGE-peptide', 'levels', 'in', 'diabetic', 'nephropathy', 'and', 'to', 'observe', 'the', 'effects', 'of', 'thiamine', '(', 'vitamin', 'B1', ')', 'and', 'pyridoxine', '(', 'vitamin', 'B6', ')', 'therapy', '.']","(9, 12)","(40, 70)",-1,hl_o,23392542,Abstract,0,test,gold,3218.0
5179,METHODS,Type 2 diabetic patients ( N.=57 ) were divided,"into two groups as "" with nephropathy "" ( N.=27 ) and "" without nephropathy "" ( N.=30 ) .","['METHODS', 'Type', '2', 'diabetic', 'patients', '(', 'N.=57', ')', 'were', 'divided', 'into', 'two', 'groups', 'as', '""', 'with', 'nephropathy', '""', '(', 'N.=27', ')', 'and', '""', 'without', 'nephropathy', '""', '(', 'N.=30', ')', '.']","(1, 10)","(7, 54)",-1,ss_p,23392542,Abstract,1,test,gold,6898.0
5180,METHODS,Type 2 diabetic patients,"( N.=57 ) were divided into two groups as "" with nephropathy "" ( N.=27 ) and "" without nephropathy "" ( N.=30 ) .","['METHODS', 'Type', '2', 'diabetic', 'patients', '(', 'N.=57', ')', 'were', 'divided', 'into', 'two', 'groups', 'as', '""', 'with', 'nephropathy', '""', '(', 'N.=27', ')', 'and', '""', 'without', 'nephropathy', '""', '(', 'N.=30', ')', '.']","(1, 5)","(7, 31)",-1,hl_p,23392542,Abstract,1,test,gold,6899.0
5181,METHODS Type 2 diabetic patients (,N.=57,") were divided into two groups as "" with nephropathy "" ( N.=27 ) and "" without nephropathy "" ( N.=30 ) .","['METHODS', 'Type', '2', 'diabetic', 'patients', '(', 'N.=57', ')', 'were', 'divided', 'into', 'two', 'groups', 'as', '""', 'with', 'nephropathy', '""', '(', 'N.=27', ')', 'and', '""', 'without', 'nephropathy', '""', '(', 'N.=30', ')', '.']","(6, 7)","(34, 39)",-1,hl_p,23392542,Abstract,1,test,gold,
5182,,Diabetic nephropathy patients,"were treated with either B6 ( N.=12 ) ( 250 mg/day ) or B1+B6 ( N.=15 ) ( 250 mg/day , each ) for five months .","['Diabetic', 'nephropathy', 'patients', 'were', 'treated', 'with', 'either', 'B6', '(', 'N.=12', ')', '(', '250', 'mg/day', ')', 'or', 'B1+B6', '(', 'N.=15', ')', '(', '250', 'mg/day', ',', 'each', ')', 'for', 'five', 'months', '.']","(0, 3)","(0, 29)",-1,ss_p,23392542,Abstract,2,test,gold,6925.0
5183,Diabetic nephropathy patients were treated with either,B6,"( N.=12 ) ( 250 mg/day ) or B1+B6 ( N.=15 ) ( 250 mg/day , each ) for five months .","['Diabetic', 'nephropathy', 'patients', 'were', 'treated', 'with', 'either', 'B6', '(', 'N.=12', ')', '(', '250', 'mg/day', ')', 'or', 'B1+B6', '(', 'N.=15', ')', '(', '250', 'mg/day', ',', 'each', ')', 'for', 'five', 'months', '.']","(7, 8)","(54, 56)",-1,ss_i,23392542,Abstract,2,test,gold,814.0
5184,Diabetic nephropathy patients were treated with either B6 ( N.=12 ) ( 250 mg/day ) or,B1+B6,"( N.=15 ) ( 250 mg/day , each ) for five months .","['Diabetic', 'nephropathy', 'patients', 'were', 'treated', 'with', 'either', 'B6', '(', 'N.=12', ')', '(', '250', 'mg/day', ')', 'or', 'B1+B6', '(', 'N.=15', ')', '(', '250', 'mg/day', ',', 'each', ')', 'for', 'five', 'months', '.']","(16, 17)","(85, 90)",-1,ss_i,23392542,Abstract,2,test,gold,
5185,,Diabetic nephropathy patients,"were treated with either B6 ( N.=12 ) ( 250 mg/day ) or B1+B6 ( N.=15 ) ( 250 mg/day , each ) for five months .","['Diabetic', 'nephropathy', 'patients', 'were', 'treated', 'with', 'either', 'B6', '(', 'N.=12', ')', '(', '250', 'mg/day', ')', 'or', 'B1+B6', '(', 'N.=15', ')', '(', '250', 'mg/day', ',', 'each', ')', 'for', 'five', 'months', '.']","(0, 3)","(0, 29)",-1,hl_p,23392542,Abstract,2,test,gold,6926.0
5186,Diabetic nephropathy patients were treated with either,B6,"( N.=12 ) ( 250 mg/day ) or B1+B6 ( N.=15 ) ( 250 mg/day , each ) for five months .","['Diabetic', 'nephropathy', 'patients', 'were', 'treated', 'with', 'either', 'B6', '(', 'N.=12', ')', '(', '250', 'mg/day', ')', 'or', 'B1+B6', '(', 'N.=15', ')', '(', '250', 'mg/day', ',', 'each', ')', 'for', 'five', 'months', '.']","(7, 8)","(54, 56)",-1,hl_i,23392542,Abstract,2,test,gold,815.0
5187,Diabetic nephropathy patients were treated with either B6 ( N.=12 ) ( 250 mg/day ) or,B1+B6,"( N.=15 ) ( 250 mg/day , each ) for five months .","['Diabetic', 'nephropathy', 'patients', 'were', 'treated', 'with', 'either', 'B6', '(', 'N.=12', ')', '(', '250', 'mg/day', ')', 'or', 'B1+B6', '(', 'N.=15', ')', '(', '250', 'mg/day', ',', 'each', ')', 'for', 'five', 'months', '.']","(16, 17)","(85, 90)",-1,hl_i,23392542,Abstract,2,test,gold,
5188,"At the beginning and the end of the experimentation period ,","glucose , HbA1c , triglyceride , cholesterol , insulin , C-peptide , thiamine pyrophosphate , pyridoxal phosphate and AGE- peptides",were measured .,"['At', 'the', 'beginning', 'and', 'the', 'end', 'of', 'the', 'experimentation', 'period', ',', 'glucose', ',', 'HbA1c', ',', 'triglyceride', ',', 'cholesterol', ',', 'insulin', ',', 'C-peptide', ',', 'thiamine', 'pyrophosphate', ',', 'pyridoxal', 'phosphate', 'and', 'AGE-', 'peptides', 'were', 'measured', '.']","(11, 31)","(60, 191)",-1,ss_o,23392542,Abstract,3,test,gold,5817.0
5189,"At the beginning and the end of the experimentation period ,","glucose , HbA1c , triglyceride , cholesterol , insulin , C-peptide , thiamine pyrophosphate , pyridoxal phosphate and AGE- peptides",were measured .,"['At', 'the', 'beginning', 'and', 'the', 'end', 'of', 'the', 'experimentation', 'period', ',', 'glucose', ',', 'HbA1c', ',', 'triglyceride', ',', 'cholesterol', ',', 'insulin', ',', 'C-peptide', ',', 'thiamine', 'pyrophosphate', ',', 'pyridoxal', 'phosphate', 'and', 'AGE-', 'peptides', 'were', 'measured', '.']","(11, 31)","(60, 191)",-1,hl_o,23392542,Abstract,3,test,gold,5818.0
5190,RESULTS,AGE-peptides,were higher in the diabetic group with nephropathy than without nephropathy ( P=0.005 ) .,"['RESULTS', 'AGE-peptides', 'were', 'higher', 'in', 'the', 'diabetic', 'group', 'with', 'nephropathy', 'than', 'without', 'nephropathy', '(', 'P=0.005', ')', '.']","(1, 2)","(7, 19)",-1,ss_o,23392542,Abstract,4,test,gold,
5191,RESULTS,AGE-peptides,were higher in the diabetic group with nephropathy than without nephropathy ( P=0.005 ) .,"['RESULTS', 'AGE-peptides', 'were', 'higher', 'in', 'the', 'diabetic', 'group', 'with', 'nephropathy', 'than', 'without', 'nephropathy', '(', 'P=0.005', ')', '.']","(1, 2)","(7, 19)",-1,hl_o,23392542,Abstract,4,test,gold,
5192,Within five months AGE-peptides increased in the diabetic group without nephropathy ( P=0.042 ) but not in the group with nephropathy treated either with,B1+B6,or B6 .,"['Within', 'five', 'months', 'AGE-peptides', 'increased', 'in', 'the', 'diabetic', 'group', 'without', 'nephropathy', '(', 'P=0.042', ')', 'but', 'not', 'in', 'the', 'group', 'with', 'nephropathy', 'treated', 'either', 'with', 'B1+B6', 'or', 'B6', '.']","(24, 25)","(153, 158)",-1,ss_i,23392542,Abstract,5,test,gold,
5193,Within five months AGE-peptides increased in the diabetic group without nephropathy ( P=0.042 ) but not in the group with nephropathy treated either with B1+B6 or,B6 .,,"['Within', 'five', 'months', 'AGE-peptides', 'increased', 'in', 'the', 'diabetic', 'group', 'without', 'nephropathy', '(', 'P=0.042', ')', 'but', 'not', 'in', 'the', 'group', 'with', 'nephropathy', 'treated', 'either', 'with', 'B1+B6', 'or', 'B6', '.']","(26, 28)","(162, 166)",-1,ss_i,23392542,Abstract,5,test,gold,813.0
5194,Within five months,AGE-peptides,increased in the diabetic group without nephropathy ( P=0.042 ) but not in the group with nephropathy treated either with B1+B6 or B6 .,"['Within', 'five', 'months', 'AGE-peptides', 'increased', 'in', 'the', 'diabetic', 'group', 'without', 'nephropathy', '(', 'P=0.042', ')', 'but', 'not', 'in', 'the', 'group', 'with', 'nephropathy', 'treated', 'either', 'with', 'B1+B6', 'or', 'B6', '.']","(3, 4)","(18, 30)",-1,ss_o,23392542,Abstract,5,test,gold,
5195,Within five months AGE-peptides increased in the diabetic group without nephropathy ( P=0.042 ) but not in the group with nephropathy treated either with,B1+B6,or B6 .,"['Within', 'five', 'months', 'AGE-peptides', 'increased', 'in', 'the', 'diabetic', 'group', 'without', 'nephropathy', '(', 'P=0.042', ')', 'but', 'not', 'in', 'the', 'group', 'with', 'nephropathy', 'treated', 'either', 'with', 'B1+B6', 'or', 'B6', '.']","(24, 25)","(153, 158)",-1,hl_i,23392542,Abstract,5,test,gold,
5196,Within five months AGE-peptides increased in the diabetic group without nephropathy ( P=0.042 ) but not in the group with nephropathy treated either with B1+B6 or,B6 .,,"['Within', 'five', 'months', 'AGE-peptides', 'increased', 'in', 'the', 'diabetic', 'group', 'without', 'nephropathy', '(', 'P=0.042', ')', 'but', 'not', 'in', 'the', 'group', 'with', 'nephropathy', 'treated', 'either', 'with', 'B1+B6', 'or', 'B6', '.']","(26, 28)","(162, 166)",-1,hl_i,23392542,Abstract,5,test,gold,812.0
5197,Within five months,AGE-peptides,increased in the diabetic group without nephropathy ( P=0.042 ) but not in the group with nephropathy treated either with B1+B6 or B6 .,"['Within', 'five', 'months', 'AGE-peptides', 'increased', 'in', 'the', 'diabetic', 'group', 'without', 'nephropathy', '(', 'P=0.042', ')', 'but', 'not', 'in', 'the', 'group', 'with', 'nephropathy', 'treated', 'either', 'with', 'B1+B6', 'or', 'B6', '.']","(3, 4)","(18, 30)",-1,hl_o,23392542,Abstract,5,test,gold,
5198,In,B6,treated group a substantial decrease was observed in HbA1c ( P=0.033 ) .,"['In', 'B6', 'treated', 'group', 'a', 'substantial', 'decrease', 'was', 'observed', 'in', 'HbA1c', '(', 'P=0.033', ')', '.']","(1, 2)","(2, 4)",-1,ss_i,23392542,Abstract,6,test,gold,811.0
5199,In B6 treated group a substantial decrease was observed in,HbA1c,( P=0.033 ) .,"['In', 'B6', 'treated', 'group', 'a', 'substantial', 'decrease', 'was', 'observed', 'in', 'HbA1c', '(', 'P=0.033', ')', '.']","(10, 11)","(58, 63)",-1,ss_o,23392542,Abstract,6,test,gold,1662.0
5200,In,B6,treated group a substantial decrease was observed in HbA1c ( P=0.033 ) .,"['In', 'B6', 'treated', 'group', 'a', 'substantial', 'decrease', 'was', 'observed', 'in', 'HbA1c', '(', 'P=0.033', ')', '.']","(1, 2)","(2, 4)",-1,hl_i,23392542,Abstract,6,test,gold,810.0
