,p,p_src,p_type,i,i_src,i_type,o,o_src,o_type,ID
145,"['poor-insight OCD .', 'patients with OCD with poor insight .', 'patients with OCD with poor insight .', '90 patients with OCD with poor insight', '90 patients with OCD with poor insight', 'Patients with OCD with poor insight', 'Patients with OCD with poor insight', 'patients with more extreme poor insight .', 'Obsessive-Compulsive Disorder with Poor Insight :', 'Obsessive-Compulsive Disorder with Poor Insight :']","[0, 2, 2, 3, 3, 9, 9, 11, 0, 0]","['ss_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p']","['inference-based approach ( IBA )', 'inference-based approach ( IBA )', 'cognitive behavior therapy ( CBT )', 'cognitive behavior therapy ( CBT )', 'CBT', 'IBA', 'CBT', 'IBA', 'IBA', 'CBT', 'IBA', 'CBT', 'CBT', 'IBA', 'CBT', 'IBA', 'IBA', 'CBT', 'IBA', 'CBT', 'Inference-Based Approach', 'Cognitive Behavioral Therapy', 'Inference-Based Approach', 'Cognitive Behavioral Therapy']","[1, 1, 2, 2, 3, 3, 3, 3, 8, 8, 8, 8, 10, 10, 10, 10, 11, 11, 11, 11, 0, 0, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i']","['effectiveness', 'effectiveness', 'effectiveness', 'Yale-Brown Obsessive Compulsive Scale ( YBOCS ) .', 'Yale-Brown Obsessive Compulsive Scale ( YBOCS ) .', 'level of insight , anxiety and depressive symptoms , and quality of life .', 'level of insight , anxiety and depressive symptoms , and quality of life .', 'Mixed-effects models', 'OCD symptom reduction', 'condition effects', 'OCD symptom reduction', 'OCD symptom reduction', 'OCD symptom reduction', 'effective']","[0, 2, 2, 4, 4, 5, 5, 6, 7, 7, 7, 8, 8, 10]","['ss_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o']",26278470
146,"['16 patients with ischaemic heart disease .', '16 patients with ischaemic heart disease']","[0, 0]","['ss_p', 'hl_p']","['Amidotrizoate', 'Iopromide', 'Amidotrizoate', 'Iopromide', 'dipyridamole', 'ionic', 'nonionic x-ray contrast', 'ionic', 'nonionic x-ray contrast']","[0, 0, 0, 0, 1, 0, 0, 0, 0]","['ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i']","['global myocardial perfusion and function ( pressures in the left ventricle , heart rate )', 'excitation formation and transmission', 'global myocardial perfusion and function', 'myocardial perfusion', 'myocardial perfusion', 'myocardial perfusion and myocardial function ]', 'myocardial']","[0, 0, 0, 1, 1, 0, 0]","['ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o']",2678230
147,"['ear microsurgical operations .', 'ear microsurgical operations .', 'Simple mastoidectomies , radical mastoidectomies and tympano plastics were carried out in 49 patients', 'Simple mastoidectomies , radical mastoidectomies and tympano plastics', '49', 'ear surgery', 'ear surgery']","[0, 0, 1, 1, 1, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p']","['halothane', 'lidocaine', 'ornipressin', 'fentanyl', 'lidocaine', 'ornipressin', 'fentanyl', 'lidocaine', 'epinephrine', 'prilocaine', 'epinephrine', 'halothane', 'lidocaine', 'ornipressin', 'fentanyl', 'lidocaine', 'ornipressin', 'fentanyl', 'lidocaine', 'epinephrine', 'prilocaine', 'epinephrine']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i']","['endocrine stress responses', 'plasma levels of epinephrine , norepinephrine , glucose , lactate and free glycerol', 'mean arterial pressure ( MAP ) and heart rate ( HR )', 'plasma levels of epinephrine , norepinephrine , glucose , lactate', 'Plasma catecholamine concentrations', 'Plasma catecholamine concentrations', 'Plasma catecholamines ( epinephrine and norepinephrine )', 'Plasma catecholamines ( epinephrine and norepinephrine )', 'MAP', 'HR .', 'MAP', 'HR .', 'plasma levels of epinephrine and norepinephrine', 'glucose , lactate and free glycerol .', 'plasma levels of epinephrine and norepinephrine', 'glucose , lactate and free glycerol .', '[ The sympatho-adrenergic stress reaction']","[0, 2, 2, 2, 4, 4, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 0]","['ss_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o']",2803397
148,"['92 outpatients affected by generalized anxiety disorders', '92 outpatients affected by generalized anxiety disorders', 'Seventy-eight patients completed the first period and 75 the whole study .', 'Seventy-eight', '75', 'anxiety :', 'anxiety :']","[0, 0, 4, 4, 4, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p']","['ketazolam', 'placebo', 'ketazolam', 'placebo', 'ketazolam', 'placebo', 'ketazolam', 'placebo', 'ketazolam', 'ketazolam', 'placebo', 'ketazolam', 'placebo', 'ketazolam', 'placebo', 'placebo', 'ketazolam', 'ketazolam']","[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 5, 5, 5, 5, 7, 7, 0, 0]","['ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['total Hamilton Anxiety Rating Scale ( HAM-A )', 'total Hamilton Anxiety Rating Scale ( HAM-A )', 'Anxiety', ""Italian HAM-A scale and with a 4-point scale ( patient 's assessment ) ."", 'Italian HAM-A scale', ""4-point scale ( patient 's assessment ) ."", 'HAM-A score', 'HAM-A score', '4-point scale', '4-point scale', 'severe headache .', 'severe headache .']","[2, 2, 3, 3, 3, 3, 5, 5, 6, 6, 7, 7]","['ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o']",2908133
149,"['Fifty-one patients with raised intraocular pressure ( IOP )', 'Fifty-one patients', 'raised intraocular pressure ( IOP )']","[0, 0, 0]","['ss_p', 'hl_p', 'hl_p']","['levobunolol', 'levobunolol', 'timolol .', 'levobunolol', 'levobunolol', 'timolol .', 'Levobunolol', 'timolol', 'Levobunolol', 'timolol', 'levobunolol', 'timolol', 'levobunolol', 'timolol', 'Levobunolol', 'timolol :', 'Levobunolol', 'timolol :']","[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 3, 3, 3, 3, 0, 0, 0, 0]","['ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i']","['intraocular pressure ( IOP )', 'effective', 'overall mean IOP ;', 'overall mean IOP ;', 'effective']","[0, 2, 2, 2, 3]","['ss_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o']",3067745
150,"['30 non-insulin dependent ( Type II ) diabetic subjects', '30 non-insulin dependent ( Type II ) diabetic subjects', 'Type II diabetes .', 'Type II diabetic patients .', 'Type II diabetic', 'non-insulin dependent diabetes mellitus .', 'non-insulin dependent diabetes mellitus .']","[0, 0, 4, 5, 5, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['captopril', 'placebo-controlled', 'placebo/wash-out )', 'captopril', 'placebo-controlled', 'Captopril', 'Captopril', 'captopril', 'captopril', 'ACE inhibitors', 'ACE inhibitors', 'angiotensin-converting enzyme inhibitors', 'angiotensin-converting enzyme inhibitors']","[0, 0, 0, 0, 0, 1, 1, 4, 4, 5, 5, 0, 0]","['ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['blood pressure and metabolism', 'blood pressure', 'metabolism', 'systolic and diastolic blood pressure', 'systolic and diastolic blood pressure', 'postprandial blood glucose concentrations', 'blood kinin concentrations', 'postprandial blood glucose concentrations', 'blood kinin concentrations', 'Body mass index , fasting plasma insulin , serum electrolyte pattern , uric acid , white blood count , lipid profile as well as hepatic and renal function', 'Body mass index , fasting plasma insulin , serum electrolyte pattern , uric acid , white blood count , lipid profile', 'hepatic and renal function', 'metabolic effect']","[0, 0, 0, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4]","['ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o']",3074300
151,"['outpatients with primary depression', 'outpatients with primary depression', 'outpatients with a major depressive disorder .', 'outpatients with a major depressive disorder .']","[0, 0, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p']","['bupropion', 'doxepin', 'bupropion', 'doxepin', 'placebo', 'placebo', 'Doxepin', 'bupropion', 'doxepin', 'bupropion .', 'Doxepin', 'bupropion', 'doxepin', 'bupropion .', 'Doxepin', 'bupropion .', 'Doxepin', 'bupropion .', 'doxepin', 'bupropion .', 'doxepin', 'bupropion .', 'doxepin', 'bupropion', 'doxepin', 'bupropion']","[0, 0, 0, 0, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 0, 0, 0, 0]","['ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i']","['efficacy', 'safety differences', 'efficacy', 'safety', 'Antidepressant response', 'Hamilton Depression and Anxiety Scales , Clinical Global Severity and Improvement Ratings , and the Zung Self-Rating Depression Scale .', 'Antidepressant response', 'Hamilton Depression and Anxiety Scales', 'Clinical Global Severity and Improvement Ratings', 'Zung Self-Rating Depression Scale', 'efficacy', 'efficacy', 'sleep', 'Hamilton Depression Scale', 'sleep', 'sleep', 'Hamilton Depression Scale', 'sleep', 'anticholinergic side effects', 'dry mouth , constipation , sleepiness , and tiredness', 'anticholinergic side effects', 'dry mouth , constipation , sleepiness , and tiredness', 'increased appetite and weight gain', 'side effects', 'appetite and weight gain']","[0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6]","['ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o']",3081600
152,"['United States', 'United States', 'General surgical patients including those undergoing noncardiac thoracic and pelvic operations who were identified at moderate to high risk for postop DVT were included .', 'General surgical patients including those undergoing noncardiac thoracic and pelvic operations who were identified at moderate to high risk for postop DVT were included .', 'Eight hundred and eighty eight patients were entered into this trial and 744 ( 85 % ) completed the study .', 'Eight hundred and eighty eight', '744']","[5, 5, 6, 6, 8, 8, 8]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'hl_p']","['dihydroergotamine ( DHE )', 'heparin', 'dihydroergotamine ( DHE )', 'heparin', 'DHE', 'heparin', 'DHE', 'heparin', 'heparin', 'DHE', 'placebo .', 'DHE', 'heparin', 'DHE', 'heparin', 'heparin', 'DHE', 'placebo .', 'DHE/Hep', 'placebo', 'DHE/Hep', 'placebo']","[3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 9, 9, 9, 9]","['ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i']","['stasis , a hypercoagulable state and venous endothelial damage .', 'stasis and the hypercoagulable state', 'prophylactic efficacy', 'prophylaxis']","[0, 3, 5, 0]","['ss_o', 'ss_o', 'ss_o', 'ss_o']",3534803
153,"['600 cases', '600 cases', 'advanced breast cancers', 'in eight French anticancer centres .', 'advanced breast cancers', 'in eight French anticancer centres', '603 patients', '603 patients', 'advanced breast cancer .', 'advanced breast cancer .']","[0, 0, 1, 1, 1, 1, 3, 3, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['chemotherapy', 'vincristine', 'cyclophosphamide', '5-fluoro-uracil', 'doxorubicine', 'methotrexate .', 'chemotherapy', 'vincristine', 'cyclophosphamide', '5-fluoro-uracil', 'doxorubicine', 'methotrexate .', 'doxorubicine', 'doxorubicine', 'chemotherapy', 'chemotherapy', 'chemotherapy', 'chemotherapy']","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 6, 6, 0, 0]","['ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['results', 'quality', 'quality']","[5, 5, 5]","['ss_o', 'ss_o', 'hl_o']",361799
154,"['Three hundred forty-one Tanzanian preschool children', 'Three hundred forty-one Tanzanian preschool children', 'children']","[0, 0, 3]","['ss_p', 'hl_p', 'hl_p']","['levamisole', 'placebo', 'levamisole', 'placebo', 'levamisole', 'placebo-treated', 'levamisole', 'placebo-treated', 'levamisole', 'placebo', 'levamisole', 'placebo', 'placebo', 'placebo']","[0, 0, 0, 0, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4]","['ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i']","['Weights and heights', 'Weights and heights', 'rate of weight gain', 'rate of weight gain', 'rate of weight gain', 'rate of weight gain', 'rate of height gain', 'rate of height gain', 'growth rates :']","[1, 1, 2, 2, 3, 3, 4, 4, 0]","['ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o']",384815
155,"['45 type I ( insulin dependent ) diabetics without proliferative retinopathy', '45 type I ( insulin dependent ) diabetics without proliferative retinopathy', 'insulin dependent diabetes mellitus :', 'insulin dependent diabetes mellitus :']","[0, 0, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p']","['insulin infusion', 'insulin injections', 'insulin treatment', 'insulin infusion', 'insulin injections', 'insulin treatment']","[0, 0, 0, 0, 0, 0]","['ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i']","['blood glucose', 'fluorescein angiograms', 'progression of retinopathy', 'fluorescein angiograms', 'progression of retinopathy', 'cotton wool spots .', 'cotton wool spots .', 'glycosylated haemoglobin and blood glucose values', 'frequent episodes of hypoglycaemia', 'duration of diabetes', 'retinopathy at onset .', 'glycosylated haemoglobin', 'blood glucose values', 'episodes of hypoglycaemia', 'duration of diabetes', 'retinopathy', 'blood glucose concentration', 'retinopathy .', 'blood glucose concentration', 'blood glucose', 'transient deterioration of retinopathy', 'retinopathy']","[0, 2, 2, 2, 2, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 0, 0, 0]","['ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o']",3919804
156,"['391 medical student volunteers during the influenza A2 Hong Kong epidemic in Helsinki in the winter of 1969 .', '391 medical student volunteers during the influenza A2 Hong Kong epidemic in Helsinki in the winter of 1969']","[0, 0]","['ss_p', 'hl_p']","['amantadine', 'amantadine', 'amantadine', 'placebo', 'amantadine', 'placebo', 'amantadine :', 'amantadine']","[0, 0, 1, 1, 1, 1, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i']","['Serologically verified influenza', 'complement fixation and/or haemagglutination inhibition', 'Serologically verified influenza', 'complement fixation and/or haemagglutination inhibition']","[1, 1, 1, 1]","['ss_o', 'ss_o', 'hl_o', 'hl_o']",4919024
157,"['31 adult asthmatic patients', '31 adult asthmatic', 'asthma in adults', 'asthma', 'adults']","[0, 0, 0, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'hl_p']","['Sodium cromoglycate', 'placebo', 'Sodium cromoglycate', 'placebo', 'Sodium cromoglycate', 'placebo', 'Sodium cromoglycate', 'placebo', 'sodium cromoglycate .', 'sodium cromoglycate .', 'sodium cromoglycate', 'placebo .', 'sodium cromoglycate', 'placebo .', 'sodium cromoglycate', 'placebo', 'sodium cromoglycate', 'placebo', 'sodium cromoglycate', 'sodium cromoglycate']","[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 5, 5, 5, 5, 0, 0]","['ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i']","['breathlessness at rest', 'breathlessness on exertion', 'quality of sleep', 'morning peak expiratory flow rate value', 'breathlessness at rest', 'breathlessness on exertion', 'quality of sleep', 'morning peak expiratory flow rate value', 'treatment opinions', 'treatment preferences', 'treatment preferences', 'side-effects', 'side-effects', 'superior', 'asthmatic symptoms', 'bronchodilator therapy required .', 'asthmatic symptoms']","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 4, 4, 5, 5, 5, 5]","['ss_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o']",6418441
158,"['31 healthy middle aged men', '31 healthy middle aged men', 'healthy middle aged men', 'healthy middle aged men', 'middle aged men .', 'middle aged men .']","[0, 0, 4, 4, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['physical exercise', 'regular physical exercise', 'physical exercise', 'regular physical exercise', 'regular exercise', 'regular exercise', 'exercise', 'regular exercise .', 'exercise .', 'mild regular physical exercise', 'mild regular physical exercise', 'mild physical exercise', 'mild physical exercise']","[0, 0, 0, 0, 1, 2, 2, 3, 3, 4, 4, 0, 0]","['ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['biochemical risk factors for ischaemic heart disease', 'biochemical risk factors for ischaemic heart disease', 'serum cholesterol concentrations', 'high density lipoprotein subfraction two ( HDL2 )', 'subfraction three ( HDL3 )', 'low density lipoprotein fraction', 'serum cholesterol concentrations', 'high density lipoprotein subfraction two ( HDL2 )', 'subfraction three ( HDL3 )', 'low density lipoprotein fraction', 'plasma 6-keto-prostaglandin F1 alpha concentration', 'serum thromboxane B2 concentration', 'prostaglandin E2 concentrations', 'plasma 6-keto-prostaglandin F1 alpha concentration', 'serum thromboxane B2 concentration', 'prostaglandin E2 concentrations', 'plasma 6-keto-prostaglandin F1 alpha concentration', 'serum HDL2 cholesterol concentration', 'plasma 6-keto-prostaglandin F1 alpha concentration', 'serum HDL2 cholesterol concentration', 'serum lipoproteins', 'circulating metabolites of arachidonic acid .', 'serum lipoproteins', 'circulating metabolites of arachidonic acid .', 'serum lipoproteins and metabolites of arachidonic acid :', 'serum lipoproteins', 'metabolites of arachidonic acid :']","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 0, 0, 0]","['ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'hl_o']",6421395
159,"['premature monkey ( Macaca nemestrina ) model of hyaline membrane disease ( HMD ) .', 'premature monkey ( Macaca nemestrina ) model of hyaline membrane disease ( HMD ) .', 'Twelve dams', 'Twelve dams', 'Twelve control animals', 'Twelve control animals', 'in this animal model ;', 'the premature monkey :', 'the premature monkey :']","[0, 0, 1, 1, 2, 2, 8, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p']","['glucocorticoid', 'glucocorticoid', 'dexamethasone', 'dexamethasone', 'saline .', 'saline .', 'dexamethasone-treated', 'dexamethasone-treated', 'dexamethasone-treated', 'dexamethasone-treated', 'dexamethasone-treated', 'dexamethasone-treated', 'dexamethasone', 'dexamethasone', 'dexamethasone', 'dexamethasone', 'dexamethasone .', 'dexamethasone .']","[0, 0, 1, 1, 2, 2, 3, 3, 5, 5, 6, 6, 7, 7, 8, 8, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['incidence and severity of HMD', 'incidence and severity of HMD', 'volume-pressure behavior', 'distensibility', 'deflation stability', 'volume-pressure behavior', 'distensibility', 'deflation stability', 'production of surface active material ( SAM ) phospholipids', 'total lung phospholipid', 'alveolar lavage fluid phospholipid', 'alveolar lavage fluid disaturated phosphatidylcholine', 'production of surface active material ( SAM ) phospholipids', 'total lung phospholipid', 'alveolar lavage fluid phospholipid', 'alveolar lavage fluid disaturated phosphatidylcholine', '14C-palmitate', 'lung lipid', 'DPC fraction', '14C-palmitate', 'lung lipid', 'incidence and severity of experimental HMD', 'effects', 'fetal pulmonary functions', 'incidence and severity of experimental HMD', 'fetal pulmonary functions']","[3, 3, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8]","['ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o']",6920252
160,"['previously untreated patients with prostatic cancer', 'previously untreated patients with prostatic cancer', 'patients with advanced disease no longer responsive to hormonal treatment', 'patients with advanced disease no longer responsive to hormonal treatment', 'prostatic cancer .', 'prostatic cancer .']","[1, 1, 3, 3, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['Stilboestrol', 'Cyproterone acetate', 'Medroxyprogesterone acetate', 'Stilboestrol', 'Estracyt', 'Stilboestrol', 'Cyproterone acetate', 'Medroxyprogesterone acetate', 'Stilboestrol', 'Estracyt', 'Stilboestrol', 'Stilboestrol', 'Adriamycin', 'Procarbazine .', 'Adriamycin', 'Procarbazine .', 'Procarbazine', 'Procarbazine']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 4, 4]","['ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i']","['side effects', 'gynaecomastia .', 'side effects', 'gynaecomastia .', 'Toxicity and early death', 'Toxicity and early death']","[2, 2, 2, 2, 4, 4]","['ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o']",6938020
161,"['One hundred and twenty patients presenting at Macquarie Hospital for admission', 'One hundred and twenty patients presenting at Macquarie Hospital for admission', 'psychiatric patients', 'psychiatric patients']","[0, 0, 6, 6]","['ss_p', 'hl_p', 'ss_p', 'hl_p']","['standard hospital care and follow-up .', 'standard hospital care and follow-up .', 'taken back to the community', 'follow-up treatment', 'back to the community', 'follow-up treatment', 'psychiatric hospital', 'community treatment', 'psychiatric hospital', 'community treatment']","[1, 1, 2, 2, 2, 2, 0, 0, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i']","['admission', 'burden on the relatives', 'burden on the control group relatives .', 'burden on the relatives', 'satisfied', 'satisfied', 'burden on their relatives .', 'burden on their relatives .', 'effect on relatives .', 'effect on relatives .']","[3, 4, 4, 4, 5, 5, 6, 6, 0, 0]","['ss_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o']",6951573
