,split_0,split_1,split_2,c_senttype,c_sentparts,c_subj_full,c_subj_split,c_subj_span0,c_subj_span1,c_subj_cspan0,c_subj_cspan1,c_verb_full,c_verb_split,c_verb_span0,c_verb_span1,c_verb_cspan0,c_verb_cspan1,c_subj_list,c_verb_list,d_averb,d_averb_s,d_averb_o,d_averb_relation,d_averb_split,d_averb_span0,d_averb_span1,d_averb_cspan0,d_averb_cspan1,d_root,d_root_full,d_root_s,d_root_o,d_root_split,d_root_span0,d_root_span1,d_root_cspan0,d_root_cspan1,fverb,fword,d_apos,d_apos_w,URL,ID,Type,Index,Text,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index
243,Our automatic and human evaluations show that the proposed model is on par with a strong task-specific neural baseline.,,,S,"['NP', 'VP', '.']",automatic human evaluations,0.0,4.0,35.0,4.0,35.0,show,0.0,36.0,40.0,36.0,40.0,"['automatic', 'human', 'evaluations']",['show'],,,,,,,,,,show,show,"['automatic and', 'Our human evaluations']",[],0,36,41,36,41,,,,,https://www.semanticscholar.org/paper/Hello%2C-It's-GPT-2-How-Can-I-Help-You-Towards-the-of-Budzianowski-Vulic/a5ed9dfc0725bffb6428a2cc297a15265377906c,25,Abstract,4,Our automatic and human evaluations show that the proposed model is on par with a strong task-specific neural baseline.,"['Our', 'automatic', 'and', 'human', 'evaluations', 'show', 'that', 'the', 'proposed', 'model', 'is', 'on', 'par', 'with', 'a', 'strong', 'task-specific', 'neural', 'baseline.']",,,
244,"In the long run, our approach holds promise to mitigate the data scarcity problem, and to support the construction of more engaging and more eloquent task-oriented conversational agents.",,,S,"['PP', ',', 'NP', 'VP', '.']",approach,0.0,22.0,30.0,22.0,30.0,holds and support,0.0,31.0,99.0,31.0,99.0,['approach'],"['holds', 'mitigate', 'support']",,,,,,,,,,promise,promise,"['our approach', 'holds']","[',']",0,37,45,37,45,,,,,https://www.semanticscholar.org/paper/Hello%2C-It's-GPT-2-How-Can-I-Help-You-Towards-the-of-Budzianowski-Vulic/a5ed9dfc0725bffb6428a2cc297a15265377906c,25,Abstract,5,"In the long run, our approach holds promise to mitigate the data scarcity problem, and to support the construction of more engaging and more eloquent task-oriented conversational agents.","['In', 'the', 'long', 'run,', 'our', 'approach', 'holds', 'promise', 'to', 'mitigate', 'the', 'data', 'scarcity', 'problem,', 'and', 'to', 'support', 'the', 'construction', 'of', 'more', 'engaging', 'and', 'more', 'eloquent', 'task-oriented', 'conversational', 'agents.']",,,
245,"Hello , It 's",GPT,-2 - How Can I Help You ?,SQ,"['INTJ', ',', 'NP', 'VBZ', 'NP', ',', 'WHADVP', 'SQ', '.']",It GPT -2,0.0,8.0,20.0,8.0,20.0,'s,0.0,11.0,13.0,11.0,13.0,"['It', 'GPT', '-2']","[""'s""]",,,,,,,,,,-2,-2,"[""It 's"", 'Hello ,', 'GPT']","['How', 'Can', 'I Help You ?']",2,18,21,0,3,Help,2,"['PROPN', 'PROPN']","['GPT', '-2']",https://www.semanticscholar.org/paper/Hello%2C-It's-GPT-2-How-Can-I-Help-You-Towards-the-of-Budzianowski-Vulic/a5ed9dfc0725bffb6428a2cc297a15265377906c,25,Title,0,"Hello, It's GPT-2 - How Can I Help You?","['Hello', ',', 'It', ""'s"", 'GPT', '-2', '-', 'How', 'Can', 'I', 'Help', 'You', '?']","(4, 5)","(13, 16)",0.0
246,"Hello , It 's",GPT-2,- How Can I Help You ?,SQ,"['INTJ', ',', 'NP', 'VBZ', 'NP', 'HYPH', 'WHADVP', 'SQ', '.']",It GPT-2,0.0,8.0,19.0,8.0,19.0,'s,0.0,11.0,13.0,11.0,13.0,"['It', 'GPT-2']","[""'s""]",,,,,,,,,,Hello,Hello,[],"[',', ""It 's GPT-2 - How Can I Help You ?""]",0,0,6,0,6,Help,How,"['PROPN', 'INTJ']","['GPT-2', 'Hello']",https://www.semanticscholar.org/paper/Hello%2C-It's-GPT-2-How-Can-I-Help-You-Towards-the-of-Budzianowski-Vulic/a5ed9dfc0725bffb6428a2cc297a15265377906c,25,Title,0,"Hello, It's GPT-2 - How Can I Help You?","['Hello', ',', 'It', ""'s"", 'GPT-2', '-', 'How', 'Can', 'I', 'Help', 'You', '?']","(4, 5)","(13, 18)",0.0
247,Towards the Use of Pretrained Language Models for Task-Oriented Dialogue Systems.,,,PP,"['IN', 'NP', '.']",the Use Pretrained Language Models Dialogue Systems,0.0,8.0,82.0,8.0,82.0,,,,,,,"['the', 'Use', 'Pretrained', 'Language', 'Models', 'Dialogue', 'Systems']",[],,,,,,,,,,Towards,Towards,[],"['the', 'Use']",0,0,8,0,8,,,,,https://www.semanticscholar.org/paper/Hello%2C-It's-GPT-2-How-Can-I-Help-You-Towards-the-of-Budzianowski-Vulic/a5ed9dfc0725bffb6428a2cc297a15265377906c,25,Title,1,Towards the Use of Pretrained Language Models for Task-Oriented Dialogue Systems.,"['Towards', 'the', 'Use', 'of', 'Pretrained', 'Language', 'Models', 'for', 'Task-Oriented', 'Dialogue', 'Systems.']",,,
248,"Missing sentence generation (or sentence infilling) fosters a wide range of applications in natural language generation, such as document auto-completion and meeting note expansion.",,,S,"['NP', 'VP', '.']",sentence generation,0.0,8.0,27.0,8.0,27.0,,,,,,,"['sentence', 'generation']",[],,,,,,,,,,sentence,sentence,['Missing'],"['generation', '( or', 'sentence', 'infilling ) fosters a wide range of applications in natural language generation , such as document auto - completion and meeting note expansion', '.']",0,8,17,8,17,,,,,https://www.semanticscholar.org/paper/INSET%3A-Sentence-Infilling-with-Inter-sentential-Huang-Zhang/8534e477b7ab410b11a7b8d01f096ee7dd0f366c,26,Abstract,0,"Missing sentence generation (or sentence infilling) fosters a wide range of applications in natural language generation, such as document auto-completion and meeting note expansion.","['Missing', 'sentence', 'generation', '(or', 'sentence', 'infilling)', 'fosters', 'a', 'wide', 'range', 'of', 'applications', 'in', 'natural', 'language', 'generation,', 'such', 'as', 'document', 'auto-completion', 'and', 'meeting', 'note', 'expansion.']",,,
249,Such a task asks the model to generate intermediate missing sentence that can semantically and syntactically bridge the surrounding context.,,,S,"['NP', 'VP', '.']",a task,0.0,5.0,11.0,5.0,11.0,asks,0.0,12.0,16.0,12.0,16.0,"['a', 'task']","['asks', 'generate']",,,,,,,,,,asks,asks,['Such a task'],[],0,12,17,12,17,,,,,https://www.semanticscholar.org/paper/INSET%3A-Sentence-Infilling-with-Inter-sentential-Huang-Zhang/8534e477b7ab410b11a7b8d01f096ee7dd0f366c,26,Abstract,1,Such a task asks the model to generate intermediate missing sentence that can semantically and syntactically bridge the surrounding context.,"['Such', 'a', 'task', 'asks', 'the', 'model', 'to', 'generate', 'intermediate', 'missing', 'sentence', 'that', 'can', 'semantically', 'and', 'syntactically', 'bridge', 'the', 'surrounding', 'context.']",,,
250,"Solving the sentence infilling task requires techniques in NLP ranging from natural language understanding, discourse-level planning and natural language generation.",,,S,"['S', 'VP', '.']",,,,,,,requires,0.0,36.0,44.0,36.0,44.0,[],"['Solving', 'requires']",,,,,,,,,,requires,requires,['the sentence infilling task'],"['techniques in NLP ranging from natural language understanding , discourse - level planning and natural language generation']",0,36,45,36,45,,,,,https://www.semanticscholar.org/paper/INSET%3A-Sentence-Infilling-with-Inter-sentential-Huang-Zhang/8534e477b7ab410b11a7b8d01f096ee7dd0f366c,26,Abstract,2,"Solving the sentence infilling task requires techniques in NLP ranging from natural language understanding, discourse-level planning and natural language generation.","['Solving', 'the', 'sentence', 'infilling', 'task', 'requires', 'techniques', 'in', 'NLP', 'ranging', 'from', 'natural', 'language', 'understanding,', 'discourse-level', 'planning', 'and', 'natural', 'language', 'generation.']",,,
251,"In this paper , we present a framework to decouple this challenge and address these three aspects respectively , leveraging the power of existing large-scale pre-trained models such as BERT and",GPT,-2 .,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,16.0,18.0,16.0,18.0,present,0.0,19.0,26.0,19.0,26.0,['we'],['present'],existing,[],['large - scale pre - trained models such as BERT and GPT -2 .'],-1.0,0.0,137.0,146.0,137.0,146.0,present,present,"['we', ',']","['a framework', 'decouple this challenge and address these three aspects respectively , leveraging the power of existing large - scale pre - trained models such as BERT and GPT -2 .']",0,19,27,19,27,,2,"['PROPN', 'PROPN', 'SCONJ']","['GPT', 'BERT', 'as']",https://www.semanticscholar.org/paper/INSET%3A-Sentence-Infilling-with-Inter-sentential-Huang-Zhang/8534e477b7ab410b11a7b8d01f096ee7dd0f366c,26,Abstract,3,"In this paper, we present a framework to decouple this challenge and address these three aspects respectively, leveraging the power of existing large-scale pre-trained models such as BERT and GPT-2.","['In', 'this', 'paper', ',', 'we', 'present', 'a', 'framework', 'to', 'decouple', 'this', 'challenge', 'and', 'address', 'these', 'three', 'aspects', 'respectively', ',', 'leveraging', 'the', 'power', 'of', 'existing', 'large-scale', 'pre-trained', 'models', 'such', 'as', 'BERT', 'and', 'GPT', '-2', '.']","(31, 32)","(193, 196)",0.0
252,"In this paper , we present a framework to decouple this challenge and address these three aspects respectively , leveraging the power of existing large-scale pre-trained models such as BERT and",GPT-2,.,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,16.0,18.0,16.0,18.0,present,0.0,19.0,26.0,19.0,26.0,['we'],['present'],existing,[],['large - scale pre - trained models such as BERT and GPT-2 .'],-1.0,0.0,137.0,146.0,137.0,146.0,present,present,"['we', ',']","['a framework', 'decouple this challenge and address these three aspects respectively , leveraging the power of existing large - scale pre - trained models such as BERT and GPT-2 .']",0,19,27,19,27,,,"['PROPN', 'PROPN', 'SCONJ']","['GPT-2', 'BERT', 'as']",https://www.semanticscholar.org/paper/INSET%3A-Sentence-Infilling-with-Inter-sentential-Huang-Zhang/8534e477b7ab410b11a7b8d01f096ee7dd0f366c,26,Abstract,3,"In this paper, we present a framework to decouple this challenge and address these three aspects respectively, leveraging the power of existing large-scale pre-trained models such as BERT and GPT-2.","['In', 'this', 'paper', ',', 'we', 'present', 'a', 'framework', 'to', 'decouple', 'this', 'challenge', 'and', 'address', 'these', 'three', 'aspects', 'respectively', ',', 'leveraging', 'the', 'power', 'of', 'existing', 'large-scale', 'pre-trained', 'models', 'such', 'as', 'BERT', 'and', 'GPT-2', '.']","(31, 32)","(193, 198)",0.0
253,"Our empirical results demonstrate the effectiveness of our proposed model in learning a sentence representation for generation, and further generating a missing sentence that bridges the context.",,,S,"['NP', 'VP', '.']",empirical results,0.0,4.0,21.0,4.0,21.0,demonstrate,0.0,22.0,33.0,22.0,33.0,"['empirical', 'results']",['demonstrate'],,,,,,,,,,demonstrate,demonstrate,"['empirical', 'Our results']","['the effectiveness of our proposed model in learning a sentence representation for generation , further generating a missing sentence that bridges the context']",0,22,34,22,34,,,,,https://www.semanticscholar.org/paper/INSET%3A-Sentence-Infilling-with-Inter-sentential-Huang-Zhang/8534e477b7ab410b11a7b8d01f096ee7dd0f366c,26,Abstract,4,"Our empirical results demonstrate the effectiveness of our proposed model in learning a sentence representation for generation, and further generating a missing sentence that bridges the context.","['Our', 'empirical', 'results', 'demonstrate', 'the', 'effectiveness', 'of', 'our', 'proposed', 'model', 'in', 'learning', 'a', 'sentence', 'representation', 'for', 'generation,', 'and', 'further', 'generating', 'a', 'missing', 'sentence', 'that', 'bridges', 'the', 'context.']",,,
254,INSET: Sentence Infilling with Inter-sentential Generative Pre-training.,,,NP,"['NP', ':', 'NP', '.']",INSET Sentence,0.0,0.0,16.0,0.0,16.0,,,,,,,"['INSET', 'Sentence']",[],,,,,,,,,,INSET,INSET,[],[': Sentence Infilling with Inter - sentential Generative Pre - training'],0,0,6,0,6,,,,,https://www.semanticscholar.org/paper/INSET%3A-Sentence-Infilling-with-Inter-sentential-Huang-Zhang/8534e477b7ab410b11a7b8d01f096ee7dd0f366c,26,Title,0,INSET: Sentence Infilling with Inter-sentential Generative Pre-training.,"['INSET:', 'Sentence', 'Infilling', 'with', 'Inter-sentential', 'Generative', 'Pre-training.']",,,
255,We explore deep autoregressive Transformer models in language modeling for speech recognition.,,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,explore,0.0,3.0,10.0,3.0,10.0,['We'],['explore'],,,,,,,,,,explore,explore,['We'],"['deep', 'autoregressive Transformer models in language modeling for speech recognition']",0,3,11,3,11,,,,,https://www.semanticscholar.org/paper/Language-Modeling-with-Deep-Transformers-Irie-Zeyer/3928b2177086532775fbf607ae3e05a0375a5061,27,Abstract,0,We explore deep autoregressive Transformer models in language modeling for speech recognition.,"['We', 'explore', 'deep', 'autoregressive', 'Transformer', 'models', 'in', 'language', 'modeling', 'for', 'speech', 'recognition.']",,,
256,We focus on two aspects.,,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,focus,0.0,3.0,8.0,3.0,8.0,['We'],['focus'],,,,,,,,,,focus,focus,['We'],[],0,3,9,3,9,,,,,https://www.semanticscholar.org/paper/Language-Modeling-with-Deep-Transformers-Irie-Zeyer/3928b2177086532775fbf607ae3e05a0375a5061,27,Abstract,1,We focus on two aspects.,"['We', 'focus', 'on', 'two', 'aspects.']",,,
257,"First, we revisit Transformer model configurations specifically for language modeling.",,,S,"['ADVP', ',', 'NP', 'VP', '.']",we,0.0,8.0,10.0,8.0,10.0,revisit,0.0,11.0,18.0,11.0,18.0,['we'],['revisit'],,,,,,,,,,configurations,configurations,[],['specifically for language modeling'],0,37,52,37,52,,,,,https://www.semanticscholar.org/paper/Language-Modeling-with-Deep-Transformers-Irie-Zeyer/3928b2177086532775fbf607ae3e05a0375a5061,27,Abstract,2,"First, we revisit Transformer model configurations specifically for language modeling.","['First,', 'we', 'revisit', 'Transformer', 'model', 'configurations', 'specifically', 'for', 'language', 'modeling.']",,,
258,We show that well configured Transformer models outperform our baseline models based on the shallow stack of LSTM recurrent neural network layers.,,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,show,0.0,3.0,7.0,3.0,7.0,['We'],['show'],,,,,,,,,,show,show,['We'],"['that', 'well configured Transformer models outperform our baseline models based on the shallow stack of LSTM recurrent neural network layers .']",0,3,8,3,8,,,,,https://www.semanticscholar.org/paper/Language-Modeling-with-Deep-Transformers-Irie-Zeyer/3928b2177086532775fbf607ae3e05a0375a5061,27,Abstract,3,We show that well configured Transformer models outperform our baseline models based on the shallow stack of LSTM recurrent neural network layers.,"['We', 'show', 'that', 'well', 'configured', 'Transformer', 'models', 'outperform', 'our', 'baseline', 'models', 'based', 'on', 'the', 'shallow', 'stack', 'of', 'LSTM', 'recurrent', 'neural', 'network', 'layers.']",,,
259,"We carry out experiments on the open-source LibriSpeech 960hr task, for both 200K vocabulary word-level and 10K byte-pair encoding subword-level language modeling.",,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,carry,0.0,3.0,8.0,3.0,8.0,['We'],['carry'],,,,,,,,,,subword,subword,"['We carry out experiments on the open - source LibriSpeech 960hr task , for both 200 K vocabulary word - level and 10 K byte - pair encoding level language modeling .']",['-'],0,140,148,140,148,,,,,https://www.semanticscholar.org/paper/Language-Modeling-with-Deep-Transformers-Irie-Zeyer/3928b2177086532775fbf607ae3e05a0375a5061,27,Abstract,4,"We carry out experiments on the open-source LibriSpeech 960hr task, for both 200K vocabulary word-level and 10K byte-pair encoding subword-level language modeling.","['We', 'carry', 'out', 'experiments', 'on', 'the', 'open-source', 'LibriSpeech', '960hr', 'task,', 'for', 'both', '200K', 'vocabulary', 'word-level', 'and', '10K', 'byte-pair', 'encoding', 'subword-level', 'language', 'modeling.']",,,
260,"We apply our word-level models to conventional hybrid speech recognition by lattice rescoring, and the subword-level models to attention based encoder-decoder models by shallow fusion.",,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,apply and,0.0,3.0,101.0,3.0,101.0,['We'],['apply'],,,,,,,,,,apply,apply,['We'],"['our word', '- level models to conventional hybrid speech recognition by lattice rescoring , and the subword - level models to attention based encoder - decoder models by shallow fusion .']",0,3,9,3,9,,,,,https://www.semanticscholar.org/paper/Language-Modeling-with-Deep-Transformers-Irie-Zeyer/3928b2177086532775fbf607ae3e05a0375a5061,27,Abstract,5,"We apply our word-level models to conventional hybrid speech recognition by lattice rescoring, and the subword-level models to attention based encoder-decoder models by shallow fusion.","['We', 'apply', 'our', 'word-level', 'models', 'to', 'conventional', 'hybrid', 'speech', 'recognition', 'by', 'lattice', 'rescoring,', 'and', 'the', 'subword-level', 'models', 'to', 'attention', 'based', 'encoder-decoder', 'models', 'by', 'shallow', 'fusion.']",,,
261,"Second, we show that deep Transformer language models do not require positional encoding.",,,S,"['ADVP', ',', 'NP', 'VP', '.']",we,0.0,9.0,11.0,9.0,11.0,show,0.0,12.0,16.0,12.0,16.0,['we'],['show'],,,,,,,,,,show,show,"[',', 'we']",[],0,12,17,12,17,,,,,https://www.semanticscholar.org/paper/Language-Modeling-with-Deep-Transformers-Irie-Zeyer/3928b2177086532775fbf607ae3e05a0375a5061,27,Abstract,6,"Second, we show that deep Transformer language models do not require positional encoding.","['Second,', 'we', 'show', 'that', 'deep', 'Transformer', 'language', 'models', 'do', 'not', 'require', 'positional', 'encoding.']",,,
262,The positional encoding is an essential augmentation for the self-attention mechanism which is invariant to sequence ordering.,,,S,"['NP', 'VP', '.']",The positional encoding,0.0,0.0,23.0,0.0,23.0,is,0.0,24.0,26.0,24.0,26.0,"['The', 'positional', 'encoding']",['is'],,,,,,,,,,essential,is essential,['an'],"['augmentation for the self - attention mechanism', 'which is invariant to sequence ordering .']",0,24,40,24,40,,,,,https://www.semanticscholar.org/paper/Language-Modeling-with-Deep-Transformers-Irie-Zeyer/3928b2177086532775fbf607ae3e05a0375a5061,27,Abstract,7,The positional encoding is an essential augmentation for the self-attention mechanism which is invariant to sequence ordering.,"['The', 'positional', 'encoding', 'is', 'an', 'essential', 'augmentation', 'for', 'the', 'self-attention', 'mechanism', 'which', 'is', 'invariant', 'to', 'sequence', 'ordering.']",,,
263,"However, in autoregressive setup, as is the case for language modeling, the amount of information increases along the position dimension, which is a positional signal by its own.",,,S,"['ADVP', ',', 'PP', ',', 'SBAR', ',', 'NP', 'VP', '.']",the amount,0.0,75.0,85.0,75.0,85.0,,,,,,,"['the', 'amount']",[],,,,,,,,,,is,is,"['However in autoregressive setup', ',', ',', 'as']","['the case for language modeling , the amount of information increases along the position dimension , which is a positional signal by its own']",0,39,42,39,42,,,,,https://www.semanticscholar.org/paper/Language-Modeling-with-Deep-Transformers-Irie-Zeyer/3928b2177086532775fbf607ae3e05a0375a5061,27,Abstract,8,"However, in autoregressive setup, as is the case for language modeling, the amount of information increases along the position dimension, which is a positional signal by its own.","['However,', 'in', 'autoregressive', 'setup,', 'as', 'is', 'the', 'case', 'for', 'language', 'modeling,', 'the', 'amount', 'of', 'information', 'increases', 'along', 'the', 'position', 'dimension,', 'which', 'is', 'a', 'positional', 'signal', 'by', 'its', 'own.']",,,
264,The analysis of attention weights shows that deep autoregressive self-attention models can automatically make use of such positional information.,,,S,"['NP', 'VP', '.']",The analysis,0.0,0.0,12.0,0.0,12.0,shows,0.0,34.0,39.0,34.0,39.0,"['The', 'analysis']",['shows'],,,,,,,,,,shows,shows,['The analysis of attention weights'],[],0,34,40,34,40,,,,,https://www.semanticscholar.org/paper/Language-Modeling-with-Deep-Transformers-Irie-Zeyer/3928b2177086532775fbf607ae3e05a0375a5061,27,Abstract,9,The analysis of attention weights shows that deep autoregressive self-attention models can automatically make use of such positional information.,"['The', 'analysis', 'of', 'attention', 'weights', 'shows', 'that', 'deep', 'autoregressive', 'self-attention', 'models', 'can', 'automatically', 'make', 'use', 'of', 'such', 'positional', 'information.']",,,
265,We find that removing the positional encoding even slightly improves the performance of these models.,,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,find,0.0,3.0,7.0,3.0,7.0,['We'],['find'],,,,,,,,,,find,find,['We'],['.'],0,3,8,3,8,,,,,https://www.semanticscholar.org/paper/Language-Modeling-with-Deep-Transformers-Irie-Zeyer/3928b2177086532775fbf607ae3e05a0375a5061,27,Abstract,10,We find that removing the positional encoding even slightly improves the performance of these models.,"['We', 'find', 'that', 'removing', 'the', 'positional', 'encoding', 'even', 'slightly', 'improves', 'the', 'performance', 'of', 'these', 'models.']",,,
266,Language Modeling with Deep Transformers.,,,NP,"['NP', 'PP', '.']",Language,0.0,0.0,8.0,0.0,8.0,,,,,,,['Language'],[],,,,,,,,,,Language,Language,[],['Modeling with Deep Transformers .'],0,0,9,0,9,,,,,https://www.semanticscholar.org/paper/Language-Modeling-with-Deep-Transformers-Irie-Zeyer/3928b2177086532775fbf607ae3e05a0375a5061,27,Title,0,Language Modeling with Deep Transformers.,"['Language', 'Modeling', 'with', 'Deep', 'Transformers.']",,,
267,"In this work , we focus on fine - tuning",an OpenAI GPT-2 pre - trained model for generating patent claims,.,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,15.0,17.0,15.0,17.0,focus,0.0,18.0,23.0,18.0,23.0,['we'],['focus'],tuning,[],"['an OpenAI GPT-2 pre -', 'trained model for generating patent claims']",0.0,0.0,34.0,41.0,34.0,41.0,focus,focus,"[',', 'we']",['.'],0,18,24,18,24,,,"['VERB', 'ADV', 'ADP']","['tuning', 'fine', 'on']",https://www.semanticscholar.org/paper/Patent-Claim-Generation-by-Fine-Tuning-OpenAI-GPT-2-Lee-Hsiang/76eac57d3ca9279def9c9542d536ed009dc492b0,28,Abstract,0,"In this work, we focus on fine-tuning an OpenAI GPT-2 pre-trained model for generating patent claims.","['In', 'this', 'work', ',', 'we', 'focus', 'on', 'fine', '-', 'tuning', 'an', 'OpenAI', 'GPT-2', 'pre', '-', 'trained', 'model', 'for', 'generating', 'patent', 'claims', '.']","(10, 21)","(40, 104)",10.0
268,,GPT,"-2 has demonstrated impressive efficacy of pre-trained language models on various tasks , particularly coherent text generation .",S,"['NP', 'VP', '.']",GPT -2,1.0,0.0,6.0,0.0,6.0,has demonstrated,2.0,7.0,23.0,3.0,19.0,"['GPT', '-2']","['has', 'demonstrated']",demonstrated,"['GPT -2', 'has']","['impressive efficacy of pre - trained language models on various tasks , particularly coherent text generation', '.']",1.0,2.0,11.0,24.0,7.0,20.0,demonstrated,demonstrated,"['GPT -2', 'has']","['impressive efficacy of pre - trained language models on various tasks , particularly coherent text generation', '.']",2,11,24,7,20,has,2,"['PROPN', 'PROPN', 'VERB']","['GPT', '-2', 'demonstrated']",https://www.semanticscholar.org/paper/Patent-Claim-Generation-by-Fine-Tuning-OpenAI-GPT-2-Lee-Hsiang/76eac57d3ca9279def9c9542d536ed009dc492b0,28,Abstract,1,"GPT-2 has demonstrated impressive efficacy of pre-trained language models on various tasks, particularly coherent text generation.","['GPT', '-2', 'has', 'demonstrated', 'impressive', 'efficacy', 'of', 'pre-trained', 'language', 'models', 'on', 'various', 'tasks', ',', 'particularly', 'coherent', 'text', 'generation', '.']","(0, 1)","(0, 3)",0.0
269,,GPT-2,"has demonstrated impressive efficacy of pre-trained language models on various tasks , particularly coherent text generation .",S,"['NP', 'VP', '.']",GPT-2,1.0,0.0,5.0,0.0,5.0,has demonstrated,2.0,6.0,22.0,0.0,16.0,['GPT-2'],"['has', 'demonstrated']",has demonstrated,['GPT-2'],"['impressive efficacy of pre - trained language models on various tasks , particularly coherent text generation', '.']",1.0,2.0,6.0,23.0,0.0,17.0,demonstrated,has demonstrated,['GPT-2'],"['impressive efficacy of pre - trained language models on various tasks , particularly coherent text generation', '.']",2,6,23,0,17,has,has,"['PROPN', 'VERB']","['GPT-2', 'demonstrated']",https://www.semanticscholar.org/paper/Patent-Claim-Generation-by-Fine-Tuning-OpenAI-GPT-2-Lee-Hsiang/76eac57d3ca9279def9c9542d536ed009dc492b0,28,Abstract,1,"GPT-2 has demonstrated impressive efficacy of pre-trained language models on various tasks, particularly coherent text generation.","['GPT-2', 'has', 'demonstrated', 'impressive', 'efficacy', 'of', 'pre-trained', 'language', 'models', 'on', 'various', 'tasks', ',', 'particularly', 'coherent', 'text', 'generation', '.']","(0, 1)","(0, 5)",0.0
270,Patent claim language itself has rarely been explored in the past and poses a unique challenge.,,,S,"['NP', 'NP', 'VP', '.']",Patent claim language itself,0.0,0.0,28.0,0.0,28.0,has been explored and poses,0.0,29.0,75.0,29.0,75.0,"['Patent', 'claim', 'language', 'itself']","['has', 'been', 'explored', 'poses']",,,,,,,,,,explored,has been explored,"['claim', 'Patent language itself']",['poses a unique challenge'],0,29,54,29,54,,,,,https://www.semanticscholar.org/paper/Patent-Claim-Generation-by-Fine-Tuning-OpenAI-GPT-2-Lee-Hsiang/76eac57d3ca9279def9c9542d536ed009dc492b0,28,Abstract,2,Patent claim language itself has rarely been explored in the past and poses a unique challenge.,"['Patent', 'claim', 'language', 'itself', 'has', 'rarely', 'been', 'explored', 'in', 'the', 'past', 'and', 'poses', 'a', 'unique', 'challenge.']",,,
271,We are motivated to generate coherent patent claims automatically so that augmented inventing might be viable someday.,,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,are motivated,0.0,3.0,16.0,3.0,16.0,['We'],"['are', 'motivated', 'generate']",,,,,,,,,,motivated,are motivated,['We'],[],0,3,17,3,17,,,,,https://www.semanticscholar.org/paper/Patent-Claim-Generation-by-Fine-Tuning-OpenAI-GPT-2-Lee-Hsiang/76eac57d3ca9279def9c9542d536ed009dc492b0,28,Abstract,3,We are motivated to generate coherent patent claims automatically so that augmented inventing might be viable someday.,"['We', 'are', 'motivated', 'to', 'generate', 'coherent', 'patent', 'claims', 'automatically', 'so', 'that', 'augmented', 'inventing', 'might', 'be', 'viable', 'someday.']",,,
272,"In our implementation, we identified a unique language structure in patent claims and leveraged its implicit human annotations.",,,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,24.0,26.0,24.0,26.0,identified and leveraged,0.0,27.0,96.0,27.0,96.0,['we'],"['identified', 'leveraged']",,,,,,,,,,claims,claims,"['In our implementation , we identified .', 'a unique language structure in patent']",['and'],0,76,83,76,83,,,,,https://www.semanticscholar.org/paper/Patent-Claim-Generation-by-Fine-Tuning-OpenAI-GPT-2-Lee-Hsiang/76eac57d3ca9279def9c9542d536ed009dc492b0,28,Abstract,4,"In our implementation, we identified a unique language structure in patent claims and leveraged its implicit human annotations.","['In', 'our', 'implementation,', 'we', 'identified', 'a', 'unique', 'language', 'structure', 'in', 'patent', 'claims', 'and', 'leveraged', 'its', 'implicit', 'human', 'annotations.']",,,
273,We investigated the fine-tuning process by probing the first 100 steps and observing the generated text at each step.,,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,investigated,0.0,3.0,15.0,3.0,15.0,['We'],['investigated'],,,,,,,,,,We,We,[],['investigated the fine - tuning process by probing the first 100 steps and observing the generated text at each step .'],0,0,3,0,3,,,,,https://www.semanticscholar.org/paper/Patent-Claim-Generation-by-Fine-Tuning-OpenAI-GPT-2-Lee-Hsiang/76eac57d3ca9279def9c9542d536ed009dc492b0,28,Abstract,5,We investigated the fine-tuning process by probing the first 100 steps and observing the generated text at each step.,"['We', 'investigated', 'the', 'fine-tuning', 'process', 'by', 'probing', 'the', 'first', '100', 'steps', 'and', 'observing', 'the', 'generated', 'text', 'at', 'each', 'step.']",,,
